district,OPS Total Amount O/S,O/S OPS No. Total,Other Amt. PS,No. Other PS,able Renew- Amt.,No. Renewable,Amt. Infra Social,No. Infra Social,PS Amt. Housing,PS No. Housing,PS Amt. Education,PS No. Education,Amt. Export,No. Export
East Garo Hills,960.91,1249,272.54,1113,0,0,18.92,6,560.65,92,108.8,38,0,0
East Khasi Hills,43712.37,14552,4181.11,9154,2.26,1,115.2,34,29832.46,3226,9581.34,2137,0,0
Ri Bhoi,9690.07,2483,357.74,1384,0,0,13.86,6,8570.18,814,748.29,279,0,0
West Garo Hills,7435.27,3647,1556.1,2770,0,0,76.87,19,5212.86,630,589.44,228,0,0
West Khasi Hills,1385.74,309,119.88,29,0,0,2.61,1,978.61,141,284.64,138,0,0
