district,(NPS) Total Amt. Disb ACP,Disb (NPS) ACP Total No.,NPS Others Amt.,A/C NPS Others,der Loans Amt. NPS un- Personal,der Loans A/C NPS un- Personal,Amt. (NPS) Housing,A/C ing (NPS) Hous-,Amt. (NPS) cation Edu-,A/C (NPS) cation Edu-,Amt. (NPS) Credit Exp,A/C Exp (NPS) Credit,Amt. (NPS) MSME,No. (NPS) MSME,Amt. (NPS) culture Agri-,No. (NPS) culture Agri-
East Garo Hills,9934.67,1883,8485.25,1495,1264.58,373,184.84,15,0,0,0,0,0,0,0,0
East Jaintia Hills,11603.72,1683,10323.11,1382,1090.26,294,190.35,7,0,0,0,0,0,0,0,0
East Khasi Hills,218210.72,32744,169554.93,24730,36488.18,7298,11357.6,640,794.32,61,0,0,15.69,15,0,0
North Garo Hills,6605.72,1256,5847.34,1038,593.98,207,164.4,11,0,0,0,0,0,0,0,0
Ri Bhoi,59838.15,8142,53370.37,6795,3459,1118,3008.78,229,0,0,0,0,0,0,0,0
South Garo Hills,5639.98,846,4931.11,662,395.82,168,313.05,16,0,0,0,0,0,0,0,0
West Garo Hills,35569.07,6562,27095.72,4658,5606.32,1723,2867.03,181,0,0,0,0,0,0,0,0
West Khasi Hills,4871.6,1060,3311.48,648,1527.45,408,32.67,4,0,0,0,0,0,0,0,0
