district,ance Rabi (Others) Insur- Number,Rabi insured PMFBY under Amount,under Rabi Farmers No. of PMFBY covered,Kharif Number (Others) Insurance,Kharif insured PMFBY under Amount,ers Kharif No. covered PMFBY of under Farm-,Loan Current Amount Year Achievement Crop
East Garo Hills,0,0,0,0,0,42,53.88
East Jaintia Hills,0,0,0,0,0,0,153.12
East Khasi Hills,0,0,0,0,0,5,2048.23
North Garo Hills,0,0,0,0,0,0,6.35
Ri Bhoi,0,0,0,0,0,16,738.56
South Garo Hills,0,0,0,0,0,0,3.6
West Garo Hills,0,0,0,0,0,102,1077.66
West Jaintia Hills,0,0,0,0,0,0,192.87
West Khasi Hills,0,0,0,0,0,67,466.86
