district,(PS) Amount MSME Target,Target MSME No. (PS),Crop Amount Achv% Loan,Crop Amount Achieved Loan,Crop No. Achieved Loan,Crop Target Amount Loan,Crop Target No. Loan,Amount Achv% Agri(PS),Agri Amount Achieved (PS),Agri No. Achieved (PS),Agri Target Amount (PS),Agri Target No. (PS)
East Garo Hills,826,493,49.83,734.77,791,1474.52,2464,30.79,927.88,961,3013.92,4837
East Jaintia Hills,4400,2200,13.99,244.38,335,1747.39,2080,14.07,460.24,959,3270.03,2988
East Khasi Hills,53578,7142,56.69,3919.39,4641,6913.4,9734,62.07,6293.83,7094,10139.15,13036
North Garo Hills,414,572,42.48,523.4,669,1232.16,2289,27.39,672.14,852,2453.69,4538
Ri Bhoi,19235.89,10526,31.14,4130.57,5197,13263.65,14625,19.85,4681.27,6106,23583.65,16871
South Garo Hills,585,289,48.43,295.44,385,610,794,89.25,724.73,626,812,903
West Garo Hills,9502,3810,45.96,1668.03,1624,3629,6662,38.9,2382.2,2730,6124,11158
West Jaintia Hills,6400,3200,13.81,1064.72,1162,7707.18,6085,14.28,1648.36,2439,11540.39,7348
West Khasi Hills,670,355,20.33,603.08,959,2966.57,2238,19.3,828.58,1269,4294.11,2688
