district,NRLM % NPA Amt.,NRLM NPA Amt.,NRLM No. NPA,A/C NRLM Amt. Irregular,NRLM A/C No. Irregular,NRLM Amt. O/S,NRLM O/S No.,Self-Help Current Amount Year Group,Group Current No. Self-Help Year
East Garo Hills,7.86,19.86,63,9.29,21,252.74,372,139.61,110
East Jaintia Hills,0.5,2.66,2,2.66,2,529.06,569,207.01,172
East Khasi Hills,0.26,2.96,7,6.33,10,1133.44,1355,753.72,755
Eastern West Khasi Hills,1.99,18.39,31,24.74,20,923.9,755,187.5,103
North Garo Hills,19.19,35.64,111,1.88,9,185.74,376,127,145
Ri Bhoi,3.81,38.1,61,36.31,48,998.97,1085,183,128
South Garo Hills,6.77,17.51,71,39.81,78,258.63,305,125.55,112
South West Garo Hills,7.43,25.37,38,24.32,35,341.41,419,77.26,55
South West Khasi Hills,1.21,6.35,7,6.36,8,524.94,427,126.76,92
West Garo Hills,5.34,60.34,152,30.26,53,1130.44,1402,557.62,472
West Jaintia Hills,2.16,20.7,23,18.1,18,957.22,1052,324.89,335
West Khasi Hills,1.02,6.94,8,6.94,8,683.19,630,197.6,141
