district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Bishnupur,213,287.2,470,608.55,73,159,337,965.48
Chandel,16,97.21,20,121.61,34,81.19,353,594.01
Churachandpur,42,118.95,84,214.77,651,1025.83,5141,11190.3
Imphal East,149,300.01,470,1124.44,289,1000.81,7369,7690.65
Imphal West,369,1122.05,1277,2768.44,453,2203.37,5477,15635.94
Jiribam,361,172.63,803,304.42,291,168.13,686,352.65
Kakching,3141,2428.65,6009,6166.34,182,157.62,689,834.57
Kamjong,4,37.7,5,47.05,4,46.8,6,51.46
Kangpokpi,37,157.39,106,286.99,175,327.43,760,1805.44
Noney,2,12.32,6,19.46,31,59.48,785,632.33
Pherzawl,0,0,1,6.56,5,50,5,48.63
Senapati,21,94.53,39,132.59,197,338.06,2008,2932.17
Tamenglong,0,0,12,22.78,138,315.44,1913,3230.2
Tengnoupal,28,61.74,49,203.12,131,276.3,908,1255.82
Thoubal,259,384.47,379,684.95,47,116.4,234,659.57
Ukhrul,3,5.04,9,28.39,206,594.47,2813,4328.24
