district,Savings Linked No,Savings Linked Amount,Credit Linked No,Credit Linked Amount,CY Savings Linked No,CY Savings Linked Amount,CY Credit Linked No,CY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.
Bishnupur,82,13.54,33,52.93,312,20.78,103,126.28,61,21.16
Chandel,34,1.15,0,0,34,1.15,0,0,5,1.42
Churachandpur,760,34.66,3,8.5,828,35.72,19,12.64,177,55.13
Imphal East,154,25.22,66,101.18,321,43.94,224,294.31,811,682.38
Imphal West,1087,14.48,13,40.75,1213,78.43,1153,508.47,313,268.84
Jiribam,0,0,0,0,4,0.18,0,0,1,0.32
Kakching,50,6.44,2,2.3,109,13.37,6,6.1,11,6.41
Kamjong,107,2.91,0,0,107,2.91,0,0,0,0
Kangpokpi,62,4.21,1,1.98,41,26.99,3,3.98,47,44.1
Noney,20,1.88,0,0,56,2.6,7,13,6,2.03
PHERZAWAL,3,0.05,0,0,3,0.05,0,0,0,0
Senapati,307,7.89,0,0,310,7.95,16,22.03,51,46
Tamenglong,13,1.79,0,0,37,1.95,0,0,9,3.87
Tengnoupal,148,12.26,39,82.28,164,18.73,91,181.47,213,264.77
Thoubal,334,25.14,32,42.4,524,62.44,130,136.21,467,853.61
Ukhrul,11,0.52,1,2,22,3.56,52,23.84,74,11.25
