district,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Bishnupur,3896,2420.61,210,294.15,8,62.76,1,15.39,2,1.48,0,0,1,0.31,0,0,30,50,4148,2844.7
Chandel,241,135.97,64,33.62,2,2.56,1,0.85,0,0,0,0,0,0,0,0,0,0,308,173
Churachandpur,1001,1314.4,162,248.02,29,265.72,7,92.14,0,0,0,0,101,303.62,52,94,53,88.62,1405,2406.52
Imphal East,7679,5024.97,775,1994.96,112,1920.32,23,593.29,8,307.85,1,87.4,162,380.59,70,138.33,105,455.05,8935,10902.76
Imphal West,9227,10514.69,1009,2992.29,450,7219.16,160,2878.31,50,3183.87,10,684.61,263,1180.95,120,222.7,846,2121.84,12135,30998.42
Jiribam,2186,1316.7,0,0,1,3.2,0,0,0,0,0,0,0,0,0,0,25,60,2212,1379.9
Kakching,3875,1963.29,177,262.59,32,312.95,9,100.02,0,0,0,0,15,67.5,0,0,40,90,4148,2796.35
Kamjong,58,20.99,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,27.99
Kangpokpi,247,421.91,36,80.4,2,1.59,1,0.53,0,0,0,0,47,256.29,4,11.39,10,6.83,347,778.94
Noney,166,214.44,30,29.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,243.61
PHERZAWAL,6,1.33,2,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.77
Senapati,743,871.59,156,164.3,53,286.96,16,77.6,0,0,0,0,6,17.47,6,1.23,30,80,1010,1499.15
Tamenglong,84,117.51,80,128.47,0,0,0,0,0,0,0,0,80,160,57,99,50,150,351,654.98
Tengnoupal,364,252.05,154,203.94,1,2.63,0,0.88,0,0,0,0,0,0,0,0,26,60.5,545,520
Thoubal,5580,3177.53,613,905.55,21,153.14,5,52.62,2,108,0,0,134,602.76,53,119,40,120,6448,5238.6
Ukhrul,371,460.2,49,65.8,2,7.5,1,2.5,2,4.41,0,0,0,0,0,0,50,180,475,720.41
