District,Sanctioned No.,ofwhichgirlstudent Sanctioned No.,Sanctioned Amt,ofwhichgirlstudent Sanctioned Amt,Disb. Number,ofwhichgirlstudent Disb No.,Disb. Amt,ofwhichgirlstudent Disb Amt,Os No.,ofwhichgirlstudent Os No.,Os amt,ofwhichgirlstudent Os Amt
Bishnupur,1,0,5.27,0,10,5,33.44,14.07,20,7,91.4,27.21
Chandel,0,0,0,0,3,2,5.5,3.34,9,6,21.9,16.13
Churachandpur,6,5,6.94,6.13,15,9,14.48,5.55,69,38,142.01,51.16
Imphal East,5,1,50.19,7.5,47,18,222.65,78.07,210,91,929.32,398.32
Imphal West,40,21,183.9,128.19,133,66,492.17,250.46,409,180,1980.85,928.64
Jiribam,0,0,0,0,0,0,0,0,1,1,0.47,0.47
Kakching,6,2,12.93,3.06,12,4,21.4,9.21,64,19,132.24,32.17
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,5,4,77.79,52.8,6,5,59.37,48.07,12,7,92.54,53.07
Noney,1,1,6.9,6.9,1,1,6.9,6.9,1,1,6.9,6.9
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,2,1,1.84,0.63,21,12,77.45,41.03,63,35,244.13,122.7
Tamenglong,0,0,0,0,3,2,1.72,0.72,5,3,10.24,4.29
Tengnoupal,1,1,14.13,14.13,1,1,14.13,14.13,3,1,17.55,14.13
Thoubal,3,1,17.75,14.16,6,3,26.9,23.95,29,10,116.69,60.16
Ukhrul,0,0,0,0,1,0,0.76,0,3,1,6.7,2.29
