District,BankName,Self-Help Group No.,Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt
Bishnupur,BOB,6,3.47,10,8.88,0,0,1,0.08
Chandel,BOI,5,0,5,1.42,0,0,0,0
Churachandpur,BOM,3,2.44,152,29.92,1,0.02,152,29.92
Imphal East,CAN,167,217.63,772,644.12,32,13.21,1,1.21
Imphal West,CBI,6,9,37,22.2,5,2.18,8,6.81
Jiribam,IND,0,0,0,0,0,0,0,0
Kakching,IOB,6,2,10,6.08,1,0.84,1,0.2
Kamjong,PNB,0,0,0,0,0,0,0,0
Kangpokpi,PSB,19,15.51,0,0,0,0,0,0
Noney,SBI,0,0,6,2.03,0,0,0,0
Pherzawl,UCO,0,0,0,0,0,0,0,0
Senapati,UNI,10,0,16,18.68,3,9.7,2,1.89
Tamenglong,Total,0,0,4,0.72,0,0,4,0.72
Tengnoupal,AXIS,56,110.4,178,201.12,28,0.51,0,0
Thoubal,BANDHAN,75,96.6,290,237.24,0,0,8,1.81
Ukhrul,HDFC,5,0,9,4.26,0,0,4,0.45
