district,Crop No,Crop Amt,Term Loan No,Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillaryy No,Ancillaryy Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.
Bishnupur,315,120.32,465,570.21,25,55.04,43,36.87,848,782.44
Chandel,62,59.35,11,142.15,0,0,0,0,73,201.5
Churachandpur,632,345.85,242,370.76,13,14.08,2,1.43,889,732.12
Imphal East,9186,5580.39,671,1006.98,17,18.59,193,179.68,10067,6785.64
Imphal West,955,531.19,712,1153,55,428.17,165,211.56,1887,2323.92
Jiribam,1,4.91,0,0,1,0.12,7,3.36,9,8.39
Kakching,71,38.71,375,454.04,22,34.24,10,17.67,478,544.66
Kamjong,0,0,0,0,0,0,0,0,0,0
Kangpokpi,110,53.2,5,4.57,3,10.01,0,0,118,67.78
Noney,10,2.75,129,54.92,0,0,10,1.71,149,59.38
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,531,281.76,81,88.25,10,33.14,35,57.22,657,460.37
Tamenglong,88,52.24,3,0.54,0,0,16,16.73,107,69.51
Tengnoupal,54,21.47,6,2.62,1,0.1,4,2.24,65,26.43
Thoubal,97,71.21,390,342.74,10,5.53,81,36.96,578,456.44
Ukhrul,143,122.95,106,174.13,16,109.34,37,41.96,302,448.38
