district,Inactive BCs,RuPaycardactivein PMJDY,Firsttimeactive RuPaycard,Aadhaar Authenticated SB accounts,RuPaycardissuedin KCC
Bishnupur,0,97962,39331,127370,4961
Chandel,0,9618,8095,15960,89
Churachandpur,2,63573,51191,105092,1362
Imphal East,4,113688,55861,169145,2729
Imphal West,1202,145977,96654,281720,2659
Jiribam,0,11340,335,0,0
Kakching,0,47651,24523,53494,971
Kamjong,0,2269,2269,1869,0
Kangpokpi,0,18216,12397,20227,243
Noney,0,8296,3541,8714,203
Pherzawl,0,326,326,387,0
Senapati,1,42922,35577,52293,768
Tamenglong,1,22042,5238,944,3
Tengnoupal,0,14074,7437,18202,143
Thoubal,3,106499,56487,132682,2428
Ukhrul,0,28252,18993,17796,268
