district,Bank Name,Disburseme nt No.,Disburseme nt Amt.,Outstanding No.,Outstanding Amt.,Disbursement No.,Disbursement Amt.,Outstanding No.,Outstanding Amt.
Bishnupur,BOB,0,0,83,251.72,63,154.05,83,251.72
Chandel,BOI,0,0,1,0.85,0,0,1,0.85
Churachandpur,BOM,0,0,47,75.2,13,42.22,47,75.2
Imphal East,CAN,0,0,3216,1647.84,820,802.05,3216,1647.84
Imphal West,CBI,0,0,4939,1422.77,260,580.19,4939,1422.77
Jiribam,IND,0,0,0,0,0,0,0,0
Kakching,IOB,0,0,47,93.98,44,79.73,47,93.98
Kamjong,PNB,0,0,0,0,0,0,0,0
Kangpokpi,PSB,0,0,40,68.94,38,80.66,40,68.94
Noney,SBI,1,1.01,0,0,0,0,0,0
PHERZAWAL,UCO,65,55.72,0,0,0,0,0,0
Senapati,UNI,0,0,10,15.91,1,2.71,10,15.91
Tamenglong,Total,66,56.73,0,0,0,0,0,0
Tengnoupal,AXIS,694,190.12,1,1.01,1,1.01,1,1.01
Thoubal,BANDHAN,0,0,605,738.65,303,376.89,605,738.65
Ukhrul,HDFC,447,881.92,21,52.1,9,24.92,21,52.1
