District,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Total Minority Disb No.,Total Minority Disb Amt
Bishnupur,377,1012.76,129,292.39,3,0.86,12,22.87,0,0,0,0,521,1328.88
Chandel,2801,5142.65,96,113.22,0,0,0,0,0,0,0,0,2897,5255.87
Churachandpur,6735,12492.72,140,350.28,5,39.02,5,35.03,0,0,0,0,6885,12917.05
Imphal East,2295,5394.22,1180,2071.8,5,18.53,5,32.08,0,0,0,0,3485,7516.63
Imphal West,4216,13361.17,2044,4497.75,12,36.82,18,65.18,0,0,10,467.45,6300,18428.37
Jiribam,249,193.22,662,377.41,1,0.06,0,0,0,0,0,0,912,570.69
Kakching,298,515.97,166,257.52,0,0,4,8.82,0,0,0,0,468,782.31
Kamjong,196,238.12,8,2,2,13,1,0,0,0,0,0,207,253.12
Kangpokpi,1177,2041.91,59,127.58,0,0,0,0,0,0,0,0,1236,2169.49
Noney,475,691.74,7,16,0,0,2,1.6,0,0,0,0,484,709.34
Pherzawl,77,198.4,9,20,0,0,0,0,0,0,0,0,86,218.4
Senapati,8088,12502.67,77,174.62,9,26.59,4,11,2,1,0,0,8180,12715.88
Tamenglong,292,838.18,2,13.21,0,0,0,0,0,0,0,0,294,851.39
Tengnoupal,1359,2829.03,127,169.37,2,7.02,0,0,0,0,0,0,1488,3005.42
Thoubal,267,501.85,1129,2174.58,3,0.77,5,5.27,2,18.75,0,0,1406,2701.22
Ukhrul,1570,3364.84,10,13.22,0,0,0,0,1,0,0,0,1581,3378.06
