district,Sishu O/S No.,Sishu O/S Amt.,Sishu NPA No.,Sishu NPA Amt.,Kishore O/S No.,Kishore O/S Amt.,Kishore NPA No.,Kishore NPA Amt.,Tarun O/S No.,Tarun O/S Amt.,Tarun NPA No.,Tarun NPA Amt.,Total MUDRA O/S No.,Total MUDRA O/S Amt.,Total MUDRA NPA No.,Total MUDRA NPA Amt.
Bishnupur,3414,829.83,860,274.13,2485,2315.44,545,544.42,53,379.21,12,75.34,5952,3524.48,1417,893.89
Chandel,128,45.55,15,5.22,197,311.65,71,111.96,8,35.36,3,14.16,333,392.56,89,131.34
Churachandpur,1331,393.29,191,59.47,932,1431.77,153,207.55,124,740.27,5,33.41,2387,2565.33,349,300.43
Imphal East,9797,2058.69,1104,366.37,3511,3830.45,515,740.32,480,2361.57,69,308.52,13788,8250.71,1688,1415.21
Imphal West,14755,3504.85,2195,766.18,5756,6714.39,866,1453.15,769,4387.3,303,929.37,21280,14606.54,3364,3148.7
Jiribam,3267,768.31,64,9.96,2709,1641.17,7,11.66,6,28.4,2,9.58,5982,2437.88,73,31.2
Kakching,2893,687.95,410,125.39,2433,2154.8,321,494.34,48,284.69,8,47.21,5374,3127.44,739,666.94
Kamjong,54,10.92,47,10.27,50,104.2,22,46.97,0,0,0,0,104,115.12,69,57.24
Kangpokpi,128,38.33,15,5.14,325,586.39,30,43.23,30,226.33,1,8.01,483,851.05,46,56.38
Noney,156,52.98,91,30.46,417,475.78,120,140.35,2,12.06,0,0,575,540.82,211,170.81
PHERZAWAL,4,1.05,1,0.38,5,10.95,0,0,0,0,0,0,9,12,1,0.38
Senapati,432,78.83,188,32.21,1155,1920.08,438,694.91,91,523.08,17,98.37,1678,2521.99,643,825.49
Tamenglong,161,26.95,20,3.19,432,464.11,60,86.88,24,155.73,1,5.95,617,646.79,81,96.02
Tengnoupal,276,82.78,38,8.47,486,544.6,106,131.95,6,21.36,895,0,768,648.74,1039,140.42
Thoubal,7225,1639.59,712,263.33,2976,3018.34,411,525.8,124,728.52,33,205.91,10325,5386.45,1156,995.04
Ukhrul,231,59.41,68,20.33,448,654.39,167,270.23,32,197.1,22,144.64,711,910.9,257,435.2
