District,Bank Name,O/S No.,O/S Amt,CY Disb No.,CY Disb Amt
Bishnupur,BOB,10237,8106.17,4003,3403.45
Chandel,BOI,1247,3942.69,742,1726.69
Churachandpur,BOM,5110,9553.82,2377,3687.49
Imphal East,CAN,29259,30270.9,10903,12120.42
Imphal West,CBI,43561,101675.3,19488,36449.13
Jiribam,IND,5066,1884.02,2233,1175.62
Kakching,IOB,7542,5135.42,4141,2066.51
Kamjong,PNB,75,88.32,50,35.57
Kangpokpi,PSB,1079,2099.2,345,919.96
Noney,SBI,521,451.48,143,173.47
Pherzawl,UCO,4,3.39,3,1.03
Senapati,UNI,4100,10373.85,2193,4176.35
Tamenglong,Total,777,870.03,60,160.62
Tengnoupal,AXIS,958,1728.37,477,797.06
Thoubal,BANDHAN,14697,10992.75,6305,5336.62
Ukhrul,HDFC,1476,2522.48,512,1042.58
