district,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Bishnupur,3207436,152832.62,1084026,28697.76,4,0.01,539362,102316.98,134536,6810.22,219686,2818.73
Chandel,37195,646.91,389484,9209.1,0,0,3835,237.48,10033,417.97,113470,1579.08
Churachandpur,58664728,3026041.79,1383315,33933.62,11,0.03,17674065,4442246.84,157268,6688.54,394269,5612.08
Imphal East,171407498,7071443.44,2341814,60759.14,152,27.59,21216568,5383912.91,398238,15723.53,695211,9778.9
Imphal West,294567849,14367329.5,4269432,115241.3,513,20.47,72831630,20171857.5,986865,44797.3,1488124,20971.7
Jiribam,147332,5041.38,74,3.92,0,0,26533,43472.6,55259,2395.43,0,0
Kakching,140878,2953.38,651652,18004.32,10,2.3,13571,1329.93,78480,3592.55,148125,1942.93
Kamjong,0,0,51942,1354.59,0,0,0,0,0,0,8686,150.14
Kangpokpi,3087,488.99,344572,10227.85,0,0,3530,1248.84,10349,587.94,99870,1380.47
Noney,35343,670.3,113290,3547.71,0,0,4782,258.61,7395,300.81,14712,207.9
Pherzawl,0,0,5446,134.36,0,0,0,0,0,0,1097,13.48
Senapati,61087297,3124358.97,1275913,31986.48,22,1.83,10473292,2863769.69,43010,1758.34,309322,4254.53
Tamenglong,124836,2818.69,19921,412.96,0,0,5311,646.86,61478,2498.82,2056,23.61
Tengnoupal,46466,1363.96,312462,8982.84,0,0.01,7115,976.77,61714,2493.08,76282,1050.98
Thoubal,140469572,6988919.06,1180417,33342.21,76,6.33,19059166,5034348.9,225251,8764.92,216558,2895.24
Ukhrul,120791,3436.25,423491,10695.22,0,0,12086,1826.29,93864,3446.71,111288,1501.93
