District,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA AMT,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA AMT
Bishnupur,10,8.88,0,0,1,0.08,40,7.2,4,0.57,661,1135.69,347,601.46,61,21.16,5,0.64,1,25,0,0
Chandel,5,1.42,0,0,0,0,0,0,0,0,232,358.95,99,146.72,5,1.42,0,0,0,0,0,0
Churachandpur,152,29.92,1,0.02,152,29.92,7,2.11,6,1.98,531,920.3,201,268.32,177,55.13,159,31.96,25,338.57,2,60.54
Imphal East,772,644.12,32,13.21,1,1.21,17,16.78,0,0,1034,3656.25,380,1123.37,811,682.38,17,16.8,46,400.16,4,40.96
Imphal West,37,22.2,5,2.18,8,6.81,109,168.28,3,3.51,911,2738.44,376,971.6,313,268.84,14,11.94,130,1487.53,25,292.28
Jiribam,0,0,0,0,0,0,1,0.33,1,0.33,31,61.87,6,11.44,1,0.32,1,0.32,0,0,0,0
Kakching,10,6.08,1,0.84,1,0.2,1,0.33,1,0.33,273,496.15,138,263.69,11,6.41,2,0.53,6,111,1,6.75
Kamjong,0,0,0,0,0,0,0,0,0,0,51,99.85,22,44.52,0,0,0,0,1,0.26,0,0
Kangpokpi,0,0,0,0,0,0,0,0,0,0,192,554.18,17,33.79,47,44.1,0,0,5,5.87,0,0
Noney,6,2.03,0,0,0,0,0,0,0,0,34,65.61,20,38,6,2.03,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,4,8.06,0,0,0,0,0,0,0,0,0,0
Senapati,16,18.68,3,9.7,2,1.89,1,1.05,0,0,726,1257.8,304,491.98,51,46,8,8.08,13,183.4,1,2.73
Tamenglong,4,0.72,0,0,4,0.72,4,0.23,4,0.23,297,336.59,117,133.03,9,3.87,8,0.96,0,0,0,0
Tengnoupal,178,201.12,28,0.51,0,0,1,0.41,0,0,92,476.93,40,49.03,213,264.77,2,0.04,1,1.14,0,0
Thoubal,290,237.24,0,0,8,1.81,128,569.48,4,0.98,620,1448.41,141,247.79,467,853.61,12,2.78,14,102.89,0,0
Ukhrul,9,4.26,0,0,4,0.45,65,6.98,59,6.75,417,609.97,209,323.14,74,11.25,63,7.21,0,0,0,0
