district,Micro No,Micro Amt,Small No,Small Amt,Medium No,Medium Amt,KVIC No,KVIC Amt,Other MSME No,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.
Bishnupur,1716,1276.62,194,221.52,1,1.78,7,11.98,10,4.79,1928,1516.69
Chandel,69,46.51,100,153.81,0,0,0,0,1,0.51,170,200.83
Churachandpur,522,558.35,144,147.47,2,60.54,6,13.82,1,1.05,675,781.23
Imphal East,2536,3124.18,415,849.4,3,108.45,16,30.92,12,1.37,2982,4114.32
Imphal West,5019,5710.27,689,2019.19,93,597.41,59,132.12,286,370.27,6146,8829.26
Jiribam,58,39.92,39,15.73,0,0,0,0,0,0,97,55.65
Kakching,594,504.45,214,261.36,4,19.68,0,0,2,0.88,814,786.37
Kamjong,0,0,75,60.64,0,0,0,0,0,0,75,60.64
Kangpokpi,118,109.9,21,33.22,0,0,0,0,0,0,139,143.12
Noney,148,102.76,22,42.88,0,0,0,0,0,0,170,145.64
PHERZAWAL,0,0,1,0.38,0,0,0,0,0,0,1,0.38
Senapati,258,339.51,392,590.25,7,42.54,0,0,0,0,657,972.3
Tamenglong,157,171.12,5,1.12,0,0,0,0,0,0,162,172.24
Tengnoupal,62,60.68,100,96.67,0,0,0,0,1,0.51,163,157.86
Thoubal,1426,1266.34,44,106.08,2,7.91,12,13.21,10,5.06,1494,1398.6
Ukhrul,365,495.9,82,133.74,2,10.69,0,0,1,0.2,450,640.53
