District,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt
Bishnupur,0,0,5,14.64,6,35.96,0,0,0,0,96,39.27,107,89.87
Chandel,0,0,3,4.22,0,0,0,0,0,0,3,0.64,6,4.86
Churachandpur,0,0,7,36.66,21,114.05,0,0,0,0,98,10.93,126,161.64
Imphal East,0,0,30,150.81,44,257.88,0,0,0,0,10,15.83,84,424.52
Imphal West,0,0,34,112,135,537.56,0,0,0,0,213,268.62,382,918.18
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,0,0,2,2.73,4,66.14,0,0,0,0,65,29.79,71,98.66
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,2,17.81,0,0,0,0,2,0.7,4,18.51
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,4,15.37,1,10.56,0,0,0,0,42,8.11,47,34.04
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,4,2.02,0,0,0,0,2,0.05,6,2.07
Thoubal,0,0,1,5.19,4,24.34,0,0,0,0,18,9.36,23,38.89
Ukhrul,0,0,3,7.74,3,13.7,0,0,0,0,34,2.09,40,23.53
