District,KCCsfor AH and Allied Activities No.,KCCsfor AH and Allied Activities Amt,Farm Production A/C,Farm Productionamt,Dairyno,Dairy Amt,Farm Mechanisation No.,Farm Mechanisation Amt,Poultry No.,Poultry Amt,fisheries No.,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC-Agri Disb No.,Total IC-Agri Disb Amt
Bishnupur,208,181.03,1,8.5,3,15,0,0,19,26.6,106,202.02,0,0,0,0,124,69.99,461,503.14
Chandel,17,10.56,0,0,0,0,3,0.28,3,0.37,0,0.88,0,0,0,0,0,0,23,12.09
Churachandpur,137,14.72,0,0,7,9.27,2,8.19,12,9.5,12,12.07,0,0,0,0,34,46.93,204,100.68
Imphal East,315,200.23,0,0,15,59.28,19,49.91,94,157.31,8,9.26,0,0,2,0.12,188,490.55,641,966.66
Imphal West,527,407.55,0,0,6,15.32,16,43.64,447,1065.01,55,168.85,0,0,1,14.5,764,1811.12,1816,3525.99
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,1,0.02
Kakching,178,68.45,0,0,1,0.04,0,0,10,22.5,51,18.1,0,0,0,0,14,15.98,254,125.07
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,30,43.48,0,0,0,0,6,30,8,6.5,4,10.04,0,0,0,0,33,76.79,81,166.81
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,55,21.4,0,0,2,0.11,0,0,3,4.18,0,0,0,0,0,0,1,0.16,61,25.85
Tamenglong,8,7.8,0,0,6,10.5,0,0,5,5.22,0,0,0,0,0,0,7,8.9,26,32.42
Tengnoupal,11,10.2,0,0,0,0,1,0.13,0,0,0,0,0,0,0,0,0,0,12,10.33
Thoubal,133,66.66,0,0,32,65.35,5,16.95,192,321.25,13,103.1,0,0,0,0,145,249.42,520,822.73
Ukhrul,4,3.2,0,0,2,7,0,0,2,0.7,1,1.5,0,0,0,0,34,43.67,43,56.07
