district,Sep-I No.,Sep-I Amt,Sep-G No,Sep-G Amt.,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt.,Women SHG No. of Beneficiary
Bishnupur,0,0,0,0,0,0,0,0,0,0,0
Chandel,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,0,0,0,0,0,0,0,0,0,0,0
Imphal East,0,0,0,0,0,1,1,10,1,1,1
Imphal West,2,15.5,0,0,0,4,7,40,4,7,40
Jiribam,0,0,0,0,0,0,0,0,0,0,0
Kakching,0,0,0,0,0,0,0,0,0,0,0
Kamjong,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,0,0,0
Noney,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,0,0,0,0,0,0,0
Tamenglong,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,0,0,0,0,0,0,0
Thoubal,0,0,0,0,0,50,50,500,50,50,500
Ukhrul,0,0,0,0,0,0,0,0,0,0,0
