district,Bank Name,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticate d CASA,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticat ed CASA
Bishnupur,BOB,394581,287888,111329,394581,287888,289272
Chandel,BOI,36580,19965,26212,36580,19965,17639
Churachandpur,BOM,257702,168302,7423,257702,168302,126119
Imphal East,CAN,796093,330264,17291,796093,330264,260545
Imphal West,CBI,790082,511509,112304,790082,511509,502692
Jiribam,IND,51822,27468,37395,51822,27468,59
Kakching,IOB,182415,138308,36593,182415,138308,112175
Kamjong,PNB,5098,1449,3377,5098,1449,2050
Kangpokpi,PSB,61920,37058,9636,61920,37058,36956
Noney,SBI,56992,44152,354661,56992,44152,43969
PHERZAWAL,UCO,851,346,117496,851,346,517
Senapati,UNI,155092,52530,7155,155092,52530,54674
Tamenglong,Total,54903,31901,840872,54903,31901,3174
Tengnoupal,AXIS,45300,27545,32745,45300,27545,22060
Thoubal,BANDHAN,399715,269552,338,399715,269552,223922
Ukhrul,HDFC,133142,64995,12449,133142,64995,27964
