District,CY Sanctio N A/C No.,CY Sanctio N Amt,CY Disburs Ed A/C No.,CY Disburs Ed Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt
Bishnupur,108,324.61,162,282.51,661,1135.69,347,601.46
Chandel,62,167.96,64,138.91,232,358.95,99,146.72
Churachandpur,193,680.36,210,342.57,531,920.3,201,268.32
Imphal East,215,1443.52,215,1109.55,1034,3656.25,380,1123.37
Imphal West,145,1010.11,186,704.13,911,2738.44,376,971.6
Jiribam,0,0,0,0,31,61.87,6,11.44
Kakching,33,85.97,33,61.09,273,496.15,138,263.69
Kamjong,12,32.3,12,32.3,51,99.85,22,44.52
Kangpokpi,70,536.53,70,252.95,192,554.18,17,33.79
Noney,8,22.04,8,9.3,34,65.61,20,38
Pherzawl,0,0,0,0,4,8.06,0,0
Senapati,121,384.46,134,265.37,726,1257.8,304,491.98
Tamenglong,21,53.42,34,65.25,297,336.59,117,133.03
Tengnoupal,22,94.61,25,56.92,92,476.93,40,49.03
Thoubal,130,739.97,124,379.56,620,1448.41,141,247.79
Ukhrul,62,150.19,94,141.48,417,609.97,209,323.14
