District,Bank Name,No. of Female Account,Sumof Female Amt,No. of Male Accountto SC,Sumof Male Amountto SC,No. of Male Accountto ST,Sumof Male Amountto ST
Bishnupur,BOB,1,13,0,0,0,0
Chandel,BOI,0,0,0,0,0,0
Churachandpur,BOM,7,8.15,0,0,5,25.81
Imphal East,CAN,20,189.74,5,3.95,11,126.54
Imphal West,CBI,61,412.9,11,155.63,24,87.6
Jiribam,IND,0,0,0,0,0,0
Kakching,IOB,1,0.07,4,122.3,0,0
Kamjong,PNB,0,0,0,0,0,0
Kangpokpi,PSB,2,2.05,0,0,3,3.85
Noney,SBI,0,0,0,0,0,0
Pherzawl,UCO,0,0,0,0,0,0
Senapati,UNI,4,20.96,0,0,0,0
Tamenglong,Total,0,0,0,0,0,0
Tengnoupal,AXIS,0,0,0,0,1,1.12
Thoubal,BANDHAN,0,0,0,0,0,0
Ukhrul,HDFC,0,0,0,0,0,0
