District,Agriculture (NPS) No.,Agriculture (NPS) Amt,Msme (NPS) No.,Msme (NPS) Amt,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt,Education (NPS) A/C,Education (NPS) Amt,Housing (NPS) A/C,Housing (NPS) Amt,Personal Loansunder NPS A/C,Personal Loansunder NPS Amt,Others NPS A/C,Others NPS Amt,Total Acp (NPS) Disb No.,Total Acp (NPS) Disb Amt
Bishnupur,0,0,0,0,0,0,0,0,48,588.15,197,413.25,484,3042.29,729,4043.69
Chandel,0,0,0,0,0,0,0,0,20,214.74,13,31.89,34,77.8,67,324.43
Churachandpur,0,0,0,0,0,0,0,0,103,1508.2,354,1322.94,1725,3690,2182,6521.14
Imphal East,0,0,0,0,0,0,0,0,196,1524.46,635,2529.9,5377,12867.27,6208,16921.63
Imphal West,0,0,0,0,0,0,0,0,652,6459.12,2536,10160.9,15280,45044.28,18469,61664.69
Jiribam,0,0,0,0,0,0,0,0,0,0,55,192.43,62,128.93,117,321.36
Kakching,0,0,0,0,0,0,0,0,50,557.97,62,297.36,255,298.29,367,1153.62
Kamjong,0,0,0,0,0,0,0,0,0,0,2,1.3,0,0,2,1.3
Kangpokpi,0,0,0,0,0,0,0,0,4,50.74,41,121.7,34,73.04,79,245.48
Noney,0,0,0,0,0,0,0,0,0,0,4,14.85,2,4,6,18.85
Pherzawl,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,10
Senapati,0,0,0,0,0,0,0,0,120,1246.66,136,463.46,395,1061.81,651,2771.93
Tamenglong,0,0,0,0,0,0,0,0,2,5.05,109,533.68,139,234.99,250,773.72
Tengnoupal,0,0,0,0,0,0,0,0,11,242.04,57,188.8,34,150.98,102,581.82
Thoubal,0,0,0,0,0,0,0,0,95,1146.57,388,1362.11,3098,6033.88,3587,8583.7
Ukhrul,0,0,0,0,0,0,0,0,0,0,13,23.39,4,9.09,17,32.48
