district,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,B/C Total,B/C Fix,B/C Other
Bishnupur,11,11,0,22,3,15,0,18,43,20,8
Chandel,4,1,1,6,4,0,0,4,9,8,1
Churachandpur,8,19,1,28,14,4,1,19,43,29,11
Imphal East,26,2,23,51,19,3,11,33,84,60,11
Imphal West,35,46,96,177,6,11,50,67,87,72,12
Jiribam,1,0,0,1,3,0,0,3,5,5,0
Kakching,1,7,2,10,0,8,0,8,28,17,5
Kamjong,1,0,0,1,2,0,0,2,2,2,0
Kangpokpi,6,0,1,7,6,0,0,6,9,7,1
Noney,1,0,0,1,3,0,0,3,5,3,1
Pherzawl,0,0,0,0,1,0,0,1,2,0,0
Senapati,11,7,0,18,13,0,0,13,21,18,3
Tamenglong,0,2,0,2,2,2,0,4,9,9,0
Tengnoupal,4,5,0,9,3,4,0,7,6,4,0
Thoubal,8,25,0,33,6,14,0,20,85,63,7
Ukhrul,4,3,0,7,3,3,0,6,17,16,1
