District,Current Year Disbursed KCC No.,Current Year Disbursed KCC Amt,Total O/S KCC No.,Total O/S KCC Amt,Numberofrupaycard,Cardactivated,AH No. of KCC,AH Amountdisbursed,AH Totalno. of KCC,AH Outstandingamount,AH Numberofrupaycard,AH Cardactivated,Fishery No. of KCC,Fishery Amountdisbursed,Fishery Totalno. of KCC,Fishery Outstandingamount,Fishery Numberofrupaycard,Fishery Cardactivated
Bishnupur,245,161.13,5108,2208.16,4767,4734,130,106.07,207,197.6,148,148,45,20.39,159,162.59,107,107
Chandel,43,18.76,134,91.99,69,69,14,10.19,17,23.79,0,0,0,0,0,0,0,0
Churachandpur,441,311.39,1791,945.66,1481,960,0,0,137,309.07,9,9,0,0,16,37.34,0,0
Imphal East,334,296.48,11998,7156.48,5720,4649,113,91.13,407,197.73,379,379,2,1.41,3,7.75,2,2
Imphal West,419,489.32,4264,2758.36,3608,3345,107,96.4,442,330.1,299,299,23,21.25,54,93.89,36,36
Jiribam,0,0,69,22.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,77,68.33,972,403.35,880,848,21,29.95,185,110.63,167,167,57,3.5,123,198.27,25,25
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,293,115.42,745,437.78,546,500,28,47.29,22,38.29,22,22,4,10.04,4,10.04,4,4
Noney,3,1.42,165,96.14,155,155,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,5,2.79,5,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,521,258.61,1722,934.25,689,509,34,16.05,35,17.91,0,0,0,0,1,0.16,0,0
Tamenglong,0,0,2,2.03,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,4,7.44,190,79.46,139,133,10,10.2,21,10.95,0,0,0,0,1,0.1,0,0
Thoubal,88,111.5,2915,1322.72,2461,2432,9,5.71,51,25.27,22,22,0,0,0,0,0,0
Ukhrul,20,10.35,128,272.76,230,230,0,0,4,5.85,0,0,1,1.5,1,1.53,0,0
