district,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,CDR Rural,CDR Semi Urban,CDR Urban,Overall CD Ratio
Bishnupur,1257.72,27171.08,0,28428.8,2249.72,35123.82,0,37373.54,178.87,129.27,,131.46
Chandel,13146.64,0,0,13146.64,14116.66,0,0,14116.66,107.38,,,107.38
Churachandpur,35043.51,46525.18,3483.8,85052.49,26125.61,25940.2,2229.41,54295.22,74.55,55.76,63.99,63.84
Imphal East,115277.94,6303.73,135524.24,257105.91,61703.06,2203.85,70882.91,134789.82,53.53,34.96,52.3,52.43
Imphal West,17321.33,30946.98,666954.54,715222.85,13779.42,45184.07,337290.5,396253.99,79.55,146,50.57,55.4
Jiribam,6713.96,0,0,6713.96,3078.73,0,0,3078.73,45.86,,,45.86
Kakching,0,13144.21,0,13144.21,0,21434.07,0,21434.07,,163.07,,163.07
Kamjong,795.04,0,0,795.04,1557,0,0,1557,195.84,,,195.84
Kangpokpi,11417.07,0,0,11417.07,9454.45,0,0,9454.45,82.81,,,82.81
Noney,2473.81,0,0,2473.81,3178.8,0,0,3178.8,128.5,,,128.5
Pherzawl,93.76,0,0,93.76,1072.8,0,0,1072.8,1144.2,,,1144.2
Senapati,51458.15,0,3209.17,54667.32,40551.29,0,0,40551.29,78.8,,0,74.18
Tamenglong,580.76,13223.02,0,13803.78,81.76,3919.99,0,4001.75,14.08,29.65,,28.99
Tengnoupal,4723.46,7531.88,0,12255.34,8407.2,4183.75,0,12590.95,177.99,55.55,,102.74
Thoubal,5653.45,38248.93,0,43902.38,3794.33,49852.74,0,53647.07,67.12,130.34,,122.2
Ukhrul,4994.59,19656.39,0,24650.98,1924.98,7965.57,0,9890.55,38.54,40.52,,40.12
