District,Farm Credit Crop No.,Farm Credit Crop Amt,Farm Credit Term Loan No.,Farm Credit Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amt
Bishnupur,5123,2095.58,3491,4858.12,9,22.13,279,100.9,8902,7076.73
Chandel,152,102.77,16,37.54,0,0,0,0,168,140.31
Churachandpur,1804,940.27,1775,2020.91,0,0,6,4.88,3585,2966.06
Imphal East,11820,7051.59,3706,4945.16,9,12.75,1028,1215.11,16563,13224.61
Imphal West,2322,2183.97,5559,11108.51,26,363.97,1886,2798.87,9793,16455.32
Jiribam,73,29.37,327,107.38,8,2.23,618,211.19,1026,350.17
Kakching,798,328.15,1427,1365.18,11,8.35,26,43.71,2262,1745.39
Kamjong,0,0,0,0,0,0,0,0,0,0
Kangpokpi,720,405.26,126,246.59,0,0,120,49.6,966,701.45
Noney,181,103.12,249,173.56,0,0,35,27.06,465,303.74
Pherzawl,5,2.79,0,0,0,0,0,0,5,2.79
Senapati,1873,985.84,166,266.58,1,1.42,89,170.29,2129,1424.13
Tamenglong,99,62.57,102,63.16,1,0.1,35,25.67,237,151.5
Tengnoupal,232,159.58,677,772.6,0,0,10,9.32,919,941.5
Thoubal,2599,1214.79,7088,7476.72,11,6.64,327,258.56,10025,8956.71
Ukhrul,568,332.15,170,276.93,2,8.58,61,79.69,801,697.35
