District,Enrolment Under PMJJBY,eligible cases under PMJJBY,Renewals Under PMJJBY,Enrolment Under PMSBY,eligible cases under PMSBY,Renewals Under PMSBY,Enrolment Under APY,Total Enrolment No.
Bishnupur,4858,126210,4504,15565,216104,8370,1144,21567
Chandel,724,21308,440,2423,33479,1260,93,3240
Churachandpur,5512,140978,3218,12771,205212,6435,1018,19301
Imphal East,9538,211997,4874,40293,317009,19332,3290,53121
Imphal West,16990,308088,9666,57449,464470,30062,5596,80035
Jiribam,272,31717,265,643,39238,622,184,1099
Kakching,2233,77338,1209,13439,123825,5360,424,16096
Kamjong,31,2122,14,324,3696,67,13,368
Kangpokpi,1339,13206,735,3718,30595,1996,382,5439
Noney,499,7522,212,1560,9996,626,127,2186
Pherzawl,31,470,0,198,690,3,0,229
Senapati,2810,79474,1152,9289,119156,4392,429,12528
Tamenglong,195,42645,167,1059,53663,802,164,1418
Tengnoupal,2221,26650,843,4486,37005,1795,135,6842
Thoubal,3332,119817,2172,16256,214035,7964,1200,20788
Ukhrul,1467,82042,852,3135,117805,1714,314,4916
