District,Agri NPA,Msme NPA,Other (PS) NPA
Bishnupur,848,1928,107
Chandel,73,170,6
Churachandpur,889,675,126
Imphal East,10067,2982,84
Imphal West,1887,6146,382
Jiribam,9,97,0
Kakching,478,814,71
Kamjong,0,75,0
Kangpokpi,118,139,4
Noney,149,170,0
Pherzawl,0,1,0
Senapati,657,657,47
Tamenglong,107,162,0
Tengnoupal,65,163,6
Thoubal,578,1494,23
Ukhrul,302,450,40
