district,Agri (PS) Total O/S No.,Agri (PS) Total O/S Amount,MSME (PS) Total O/S No.,MSME (PS) Total O/S Amount,Other PS Total O/S No.,Other PS Total O/S Amount,Total PS O/S No.,Total PS O/S Amount
Bishnupur,8902,7076.73,7665,5318.15,612,3997.54,17179,16392.42
Chandel,168,140.31,460,503.37,84,681.5,712,1325.18
Churachandpur,3585,2966.06,3071,5099.57,889,6278.03,7545,14343.66
Imphal East,16563,13224.61,18929,19588.17,4433,12759.95,39925,45572.73
Imphal West,9793,16455.32,28481,73827.18,7400,40130.63,45674,130413.13
Jiribam,1026,350.17,4207,1699.08,9,79.54,5242,2128.79
Kakching,2262,1745.39,6908,4953.49,591,2334.27,9761,9033.15
Kamjong,0,0,108,110.8,0,0,108,110.8
Kangpokpi,966,701.45,948,2186.31,87,600.28,2001,3488.04
Noney,465,303.74,421,401.61,1,6.9,887,712.25
Pherzawl,5,2.79,8,9.15,0,0,13,11.94
Senapati,2129,1424.13,1881,3909.55,334,2207.04,4344,7540.72
Tamenglong,237,151.5,703,743.62,11,73.71,951,968.83
Tengnoupal,919,941.5,850,855.22,104,741.39,1873,2538.11
Thoubal,10025,8956.71,12832,8461.79,703,4330.22,23560,21748.72
Ukhrul,801,697.35,997,1182.25,105,129.81,1903,2009.41
