district,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disburse d under PMAY No,Current Year Disburse d under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Bishnupur,350,3961.35,71,1670.1,8,118.7,13,121,3,35,13,121
Chandel,75,840.51,22,633.23,73,1262.21,0,0,0,0,0,0
Churachandpur,684,6770.52,164,5036.35,380,3618.74,65,930.67,25,485.67,65,930.67
Imphal East,860,8911.35,232,5551.67,427,7470.82,29,452,15,263,31,467.79
Imphal West,3511,37172.12,926,25186,151,2348.72,456,6167.64,80,742.46,439,5786.53
Jiribam,8,79.07,1,3.29,9,82.36,8,79.07,0,0,8,79.07
Kakching,351,2979.79,77,2095.47,42,690.76,89,896,9,75,89,896
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,137,2026.2,61,1616.51,157,3095.24,0,0,0,0,0,0
Noney,0,0,1,21.11,1,21.11,0,0,0,0,0,0
PHERZAWAL,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,190,2817.08,73,2266.15,254,4983.05,1,13.12,0,0,1,13.12
Tamenglong,0,0,4,73.24,0,0,0,0,0,0,0,0
Tengnoupal,67,867.02,19,606.25,61,1121.24,7,45,0,0,7,45
Thoubal,429,4506.26,117,2598.08,19,202.4,56,542,6,56,56,542
Ukhrul,13,110.44,3,49.21,0,0,0,0,0,0,0,0
