district,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bishnupur,2133,493.67,1244,859.02,27,216.79,3404,1569.48
Chandel,77,34.2,62,103.07,5,45.5,144,182.77
Churachandpur,546,219.36,218,467.14,62,442.6,826,1129.1
Imphal East,4702,1119.45,1491,1709.66,279,1772.08,6472,4601.19
Imphal West,9420,2326.67,2919,3870.73,769,5415.94,13108,11613.34
Jiribam,3182,757.02,2665,1561.75,0,0,5847,2318.77
Kakching,2495,559.18,1535,769.98,13,83.43,4043,1412.59
Kamjong,0,0,13,28.55,0,0,13,28.55
Kangpokpi,99,31.22,231,484.07,28,225.42,358,740.71
Noney,25,10.33,91,140.75,2,18.9,118,169.98
PHERZAWAL,0,0,0,0,0,0,0,0
Senapati,124,20.17,219,487.04,37,293.45,380,800.66
Tamenglong,24,8.56,63,116.25,8,51.3,95,176.11
Tengnoupal,132,54.23,111,97.17,11,75.89,254,227.29
Thoubal,3635,886.01,1555,1412.06,34,219.77,5224,2517.84
Ukhrul,34,13.04,95,152.73,8,47.66,137,213.43
