District,Crop Loan A/C,Crop Loan Amt,Forestryandwasteland Dev. A/C No.,Forestryandwasteland Dev. Amt,Water Resource A/C No.,Water Resource Amt,Farmmechanization A/C No.,Farmmechanization Amt,Plantation & horticulture A/C No.,Plantation & horticulture Amt,Animal Husbandry A/C No.,Animal Husbandry Amt,Fishery A/C No.,Fishery Amt,Farm Credit Others A/C No.,Farm Credit Others Amt,Agri. Infrastructure A/C,Agri. Infrastructure Amt,Ancillaryy Activities A/C,Ancillaryy Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Bishnupur,2813,2051.37,0,0,0,0,1,8.5,0,0,172,228.73,91,205.44,402,367.98,0,0,5,8.99,3484,2871.01
Chandel,64,35.21,0,0,0,0,3,0.28,0,0,14,10.19,0,0,7,0.79,0,0,0,0,88,46.47
Churachandpur,1107,779.33,0,0,12,29.32,2,8.19,0,0,137,97.91,1,2.5,162,94.78,0,0,2,3.25,1423,1015.28
Imphal East,1215,1342.3,0,0,0,0,7,34.66,1,0.26,213,346.34,18,29.16,2053,2113.17,4,9.1,338,712.19,3849,4587.18
Imphal West,1141,1875.49,0,0,1,0.06,6,26.17,6,14.85,858,1463.51,59,206.27,2729,3985.61,1,26.91,778,1063.18,5579,8662.05
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,76.25,1,0.7,71,32.85,206,109.8
Kakching,304,132.74,0,0,0,0,0,0,0,0,210,93.43,52,25.7,484,447.54,1,0.45,4,1.19,1055,701.05
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,156,104.72,0,0,0,0,6,30,0,0,53,73.16,4,10.04,31,40.6,0,0,0,0,250,258.52
Noney,156,110.78,0,0,0,0,0,0,0,0,26,36.78,0,0,1,2,0,0,21,21.47,204,171.03
Pherzawl,5,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.79
Senapati,633,315.76,0,0,0,0,0,0,0,0,35,17.73,0,0,30,19.1,0,0,15,29.79,713,382.38
Tamenglong,22,30.69,0,0,0,0,0,0,0,0,8,7.8,0,0,0,0,0,0,6,3.86,36,42.35
Tengnoupal,204,264.41,0,0,0,0,1,0.13,0,0,37,28.14,0,0,27,74.88,0,0,0,0,269,367.56
Thoubal,3322,3671.52,0,0,0,0,6,20.95,0,0,325,514.29,13,103.1,477,466.27,0,0,65,65.74,4208,4841.87
Ukhrul,120,84.5,0,0,0,0,0,0,0,0,30,35.99,0,0,4,4.7,2,8.8,17,26.39,173,160.38
