district,amount,kcc_disbursement_during_01_04_2022_to_31_12_2022_fresh_renewal_no,kcc_outstanding_as_on_31_12_2022_no,of_achievement_no,target_no
Alipurduar,461.22,27899.0,64495.0,72.46,38500.0
Bankura,939.41,142013.0,174470.0,71.72,198000.0
Birbhum,792.36,80909.0,245133.0,33.71,240000.0
Cooch Behar,1447.01,128374.0,172268.0,67.57,190000.0
Dakshin Dinajpur,572.8,76023.0,107975.0,66.11,115000.0
Darjeeling,120.95,9486.0,24515.0,51.28,18500.0
Hooghly,1432.91,231365.0,340054.0,58.57,395000.0
Howrah,526.24,35096.0,86560.0,36.94,95000.0
Jalpaiguri,861.94,39352.0,96921.0,98.38,40000.0
Jhargram,304.13,28037.0,72680.0,50.98,55000.0
Kalimpong,49.59,1992.0,8612.0,19.92,10000.0
Kolkata,21.01,926.0,437.0,,0.0
Malda,644.79,56366.0,144930.0,51.24,110000.0
Murshidabad,966.37,56015.0,162201.0,58.96,95000.0
Nadia,1447.03,78977.0,214849.0,71.8,110000.0
North 24 Parganas,1200.64,128695.0,373458.0,55.95,230000.0
Paschim Bardhaman,234.25,11987.0,14717.0,47.95,25000.0
Paschim Medinipur,2161.32,219082.0,395844.0,89.42,245000.0
Purba Bardhaman,2579.91,239194.0,473948.0,85.43,280000.0
Purba Medinipur,1674.87,434385.0,606479.0,57.92,750000.0
Purulia,306.47,25584.0,116373.0,73.1,35000.0
South 24 Parganas,1291.04,132316.0,323078.0,77.83,170000.0
Uttar Dinajpur,1048.13,39019.0,296072.0,70.94,55000.0
