district,1_year_and_above_no,6_months_to_1_year_no,above_60_day_below_6_months_no,amt,pending_below_60_days_no,total_pending_no
Alipurduar,0.0,0.0,1.0,3.28,2.0,3.0
Bankura,21.0,10.0,2.0,13.63,2.0,35.0
Birbhum,47.0,19.0,11.0,34.31,9.0,86.0
Cooch Behar,16.0,8.0,9.0,24.04,7.0,40.0
Dakshin Dinajpur,43.0,7.0,2.0,4.91,2.0,54.0
Darjeeling,11.0,10.0,12.0,62.42,11.0,44.0
Hooghly,121.0,54.0,80.0,127.64,23.0,278.0
Howrah,126.0,51.0,39.0,256.36,14.0,230.0
Jalpaiguri,14.0,4.0,15.0,41.6,8.0,41.0
Jhargram,0.0,2.0,0.0,0.19,0.0,2.0
Kalimpong,0.0,0.0,0.0,0.0,0.0,0.0
Kolkata,183.0,24.0,30.0,371.72,16.0,253.0
Malda,56.0,8.0,3.0,82.75,4.0,71.0
Murshidabad,64.0,5.0,12.0,37.37,25.0,106.0
Nadia,70.0,21.0,14.0,22.73,1.0,106.0
North 24 Parganas,144.0,74.0,67.0,162.07,40.0,325.0
Paschim Bardhaman,77.0,16.0,22.0,92.52,11.0,126.0
Paschim Medinipur,107.0,10.0,11.0,52.16,18.0,146.0
Purba Bardhaman,60.0,18.0,44.0,73.46,7.0,129.0
Purba Medinipur,55.0,14.0,9.0,51.71,20.0,98.0
Purulia,2.0,6.0,3.0,5.94,0.0,11.0
South 24 Parganas,203.0,24.0,43.0,87.38,13.0,283.0
Uttar Dinajpur,32.0,12.0,11.0,16.94,6.0,61.0
