district,achivement,fy_2021_22_target,fy_2022_23_target,of_achivement
Alipurduar,7472.0,3480.0,4010.0,186.0
Bankura,21629.0,14700.0,17400.0,124.0
Birbhum,34124.0,15870.0,18680.0,183.0
Cooch Behar,23258.0,11130.0,12910.0,180.0
Dakshin Dinajpur,10212.0,6120.0,7150.0,143.0
Darjeeling,14239.0,13650.0,15930.0,89.0
Hooghly,43438.0,27450.0,32290.0,135.0
Howrah,39475.0,23250.0,27160.0,145.0
Jalpaiguri,23976.0,12000.0,13990.0,171.0
Jhargram,4858.0,3390.0,3950.0,123.0
Kalimpong,1004.0,1050.0,1290.0,78.0
Kolkata,28490.0,73470.0,84900.0,34.0
Malda,37315.0,12510.0,14510.0,257.0
Murshidabad,65674.0,22650.0,26510.0,248.0
Nadia,32024.0,19770.0,23030.0,139.0
North 24 Parganas,59548.0,49590.0,58240.0,102.0
Paschim Bardhaman,7148.0,11190.0,13140.0,54.0
Paschim Medinipur,34418.0,21360.0,25110.0,137.0
Purba Bardhaman,42899.0,30450.0,35100.0,122.0
Purba Medinipur,55374.0,18300.0,21540.0,257.0
Purulia,15488.0,9540.0,11130.0,139.0
South 24 Parganas,47949.0,33360.0,39020.0,123.0
Uttar Dinajpur,20572.0,8160.0,9520.0,216.0
