district,fy_2020_21_no_of_flc_camps_conducted,fy_2021_22_no_of_flc_camps_conducted,fy_2022_23_upto_dec_22_no_of_flc_camps_conducted,no_of_beneficiary_attended,no_of_flcs_in_district
Alipurduar,0.0,0.0,0.0,0.0,0.0
Bankura,118.0,48.0,126.0,3511.0,1.0
Birbhum,208.0,304.0,215.0,6905.0,1.0
Cooch Behar,62.0,122.0,114.0,3518.0,2.0
Darjeeling,89.0,87.0,50.0,3173.0,2.0
Hooghly,207.0,127.0,119.0,4269.0,1.0
Howrah,369.0,185.0,94.0,4512.0,2.0
Jalpaiguri,2.0,8.0,27.0,667.0,1.0
Jhargram,0.0,40.0,48.0,2896.0,1.0
Kalimpong,0.0,0.0,0.0,0.0,1.0
Kolkata,0.0,9.0,28.0,659.0,1.0
Malda,172.0,32.0,16.0,1454.0,2.0
Murshidabad,119.0,18.0,35.0,1372.0,2.0
Nadia,119.0,94.0,71.0,6940.0,1.0
North 24 Parganas,63.0,55.0,65.0,3127.0,1.0
Paschim Bardhaman,0.0,27.0,24.0,786.0,1.0
Paschim Medinipur,170.0,18.0,42.0,2402.0,1.0
Purba Bardhaman,164.0,29.0,32.0,1561.0,1.0
Purba Medinipur,332.0,371.0,20.0,589.0,2.0
Purulia,77.0,53.0,55.0,1811.0,1.0
South 24 Parganas,93.0,50.0,34.0,1413.0,1.0
Uttar Dinajpur,98.0,149.0,77.0,3013.0,1.0
