district,aap_target_for_fy_2022_23_no_of_programs,achievement_no_of_programs,total_trained
Bankura,26.0,80.77,81.28
Birbhum,18.0,77.78,72.22
Cooch Behar,16.0,75.0,75.25
Darjeeling,14.0,64.29,72.29
Hooghly,24.0,83.33,72.22
Howrah,29.0,82.76,83.09
Jalpaiguri,18.0,77.78,94.0
Malda,24.0,66.67,78.0
Nadia,25.0,64.0,79.8
North 24 Parganas,28.0,71.43,98.17
Purba Bardhaman,26.0,76.92,76.6
Purba Medinipur,25.0,88.0,81.84
Purulia,21.0,61.9,65.74
South 24 Parganas,25.0,84.0,78.72
Uttar Dinajpur,27.0,66.67,75.81
