district,camps_by_rural_branches_no_of_total_rural_branches,no_of_camps_conducted,no_of_flcs,no_of_participants_attended,special_camps_by_flcs_target,target,target_specific_camps_by_flcs_target
Alipurduar,51.0,149.0,0.0,0.0,0.0,153.0,0.0
Bankura,168.0,363.0,1.0,1251.0,6.0,504.0,15.0
Birbhum,212.0,285.0,1.0,1963.0,6.0,636.0,15.0
Cooch Behar,136.0,128.0,2.0,389.0,12.0,408.0,30.0
Dakshin Dinajpur,79.0,352.0,2.0,617.0,12.0,237.0,30.0
Darjeeling,76.0,101.0,2.0,0.0,12.0,228.0,30.0
Hooghly,237.0,327.0,1.0,1404.0,6.0,711.0,15.0
Howrah,115.0,242.0,2.0,75.0,12.0,345.0,30.0
Jalpaiguri,79.0,250.0,1.0,187.0,6.0,237.0,15.0
Jhargram,83.0,121.0,1.0,617.0,6.0,249.0,15.0
Kalimpong,14.0,18.0,1.0,0.0,6.0,42.0,15.0
Kolkata,7.0,21.0,1.0,243.0,6.0,21.0,15.0
Malda,189.0,450.0,2.0,337.0,12.0,567.0,30.0
Murshidabad,339.0,324.0,2.0,530.0,12.0,1017.0,30.0
Nadia,230.0,339.0,1.0,800.0,6.0,690.0,15.0
Paschim Bardhaman,91.0,152.0,1.0,274.0,6.0,273.0,15.0
Paschim Medinipur,248.0,393.0,1.0,566.0,6.0,744.0,15.0
Purba Bardhaman,203.0,460.0,1.0,194.0,6.0,609.0,15.0
Purba Medinipur,177.0,491.0,2.0,196.0,12.0,531.0,30.0
Purulia,158.0,199.0,1.0,368.0,6.0,474.0,15.0
Uttar Dinajpur,78.0,184.0,1.0,1319.0,6.0,234.0,15.0
