district,31_03_2021,31_03_2022,enrolment_under_pmjjby_31_03_2020,enrolment_under_pmsby_31_03_2020
Alipurduar,76664.0,99006.0,6043.0,20945.0
Bankura,280137.0,346099.0,44442.0,189605.0
Birbhum,303366.0,386956.0,66364.0,210383.0
Cooch Behar,175292.0,225638.0,35333.0,243982.0
Dakshin Dinajpur,130140.0,163499.0,21706.0,96065.0
Hooghly,376228.0,475875.0,76128.0,276181.0
Howrah,292315.0,377056.0,68559.0,215356.0
Jalpaiguri,185105.0,230168.0,65395.0,182150.0
Kolkata,644670.0,711150.0,167764.0,458976.0
Malda,313206.0,392921.0,59269.0,208431.0
Murshidabad,586530.0,686540.0,86240.0,323983.0
Nadia,413503.0,482454.0,52494.0,289755.0
North 24 Parganas,674770.0,789357.0,135477.0,438125.0
Paschim Medinipur,451787.0,546122.0,91507.0,383353.0
Purba Bardhaman,539519.0,653923.0,111984.0,405413.0
Purba Medinipur,433515.0,506412.0,74206.0,369414.0
Purulia,170386.0,213151.0,33039.0,115909.0
South 24 Parganas,457445.0,550471.0,85051.0,352543.0
Uttar Dinajpur,173776.0,228484.0,35199.0,125849.0
