district,disb_amt,kishore_no,sanc_amt,shishu_no,tarun_no,total_no
Alipurduar,316.75,8294.0,318.59,63730.0,878.0,72902.0
Bankura,397.62,7174.0,402.91,40043.0,1857.0,49074.0
Birbhum,759.76,19280.0,769.35,60806.0,2135.0,82221.0
Cooch Behar,357.44,7189.0,364.95,38036.0,2155.0,47380.0
Dakshin Dinajpur,350.54,12066.0,353.2,61043.0,750.0,73859.0
Hooghly,917.57,21687.0,936.35,98398.0,3703.0,123788.0
Howrah,794.23,19772.0,806.89,71247.0,2467.0,93486.0
Jalpaiguri,728.01,21124.0,741.27,107257.0,2718.0,131099.0
Jhargram,143.01,3547.0,144.23,11782.0,751.0,16080.0
Kalimpong,8.72,160.0,9.57,371.0,58.0,589.0
Kolkata,1359.59,25783.0,1392.51,105220.0,6238.0,137241.0
Malda,678.28,18473.0,685.32,102639.0,1812.0,122924.0
Murshidabad,1458.96,40931.0,1473.81,220636.0,4203.0,265770.0
Nadia,875.78,19003.0,894.39,119699.0,3246.0,141948.0
North 24 Parganas,1530.37,36361.0,1565.87,167442.0,6267.0,210070.0
Paschim Medinipur,1071.05,20283.0,1079.56,93599.0,6279.0,120161.0
Purba Bardhaman,718.59,17443.0,732.81,79221.0,2175.0,98839.0
Purba Medinipur,1157.0,23497.0,1167.43,100384.0,6499.0,130380.0
South 24 Parganas,1001.31,26401.0,1014.51,117578.0,3503.0,147482.0
Uttar Dinajpur,429.02,10152.0,435.56,67115.0,1373.0,78640.0
