district,atm_mar_20,bc_outlets_mar_20,brick_morter_branch_mar_20,mar_21,mar_22,number_of_atm_per_one_lakh_population_mar_20,number_of_bcs_per_one_lakh_population_mar_20,number_of_branches_per_one_lakh_population_mar_20
Alipurduar,115.0,1298.0,132.0,89.08,170.57,7.66,86.42,8.79
Bankura,221.0,2561.0,287.0,186.89,318.66,6.15,71.21,7.98
Birbhum,261.0,2383.0,327.0,125.4,294.83,7.45,68.04,9.34
Cooch Behar,198.0,5296.0,271.0,325.25,613.25,7.02,187.86,9.61
Dakshin Dinajpur,104.0,2271.0,138.0,256.62,425.27,6.22,135.91,8.26
Darjeeling,441.0,1114.0,281.0,116.2,290.82,23.88,60.32,15.22
Hooghly,537.0,2794.0,562.0,96.3,191.13,9.73,50.62,10.18
Howrah,596.0,2159.0,491.0,78.27,185.55,12.29,44.52,10.12
Jalpaiguri,306.0,4896.0,232.0,329.15,596.41,12.85,205.58,9.74
Jhargram,61.0,141.0,93.0,23.32,98.63,5.37,12.41,8.18
Kalimpong,86.0,21.0,35.0,16.69,79.48,34.18,8.35,13.91
Kolkata,2017.0,1757.0,1384.0,86.41,134.67,44.96,39.16,30.85
Malda,205.0,5883.0,277.0,259.46,521.09,5.13,147.15,6.93
Murshidabad,504.0,6938.0,492.0,187.32,418.62,7.1,97.68,6.93
Nadia,650.0,4121.0,448.0,153.53,324.02,12.58,79.73,8.67
North 24 Parganas,1392.0,4853.0,1009.0,102.22,238.0,13.81,48.13,10.01
Paschim Bardhaman,437.0,188.0,365.0,92.26,166.45,15.16,6.52,12.66
Paschim Medinipur,350.0,3071.0,426.0,126.79,297.87,6.87,60.28,8.36
Purba Bardhaman,266.0,3563.0,438.0,38.26,256.21,5.5,73.68,9.06
Purba Medinipur,383.0,3291.0,399.0,135.78,335.29,8.67,74.5,9.03
Purulia,211.0,2078.0,187.0,141.7,343.34,7.21,70.97,6.39
South 24 Parganas,976.0,5883.0,646.0,140.91,314.48,11.97,72.16,7.92
Uttar Dinajpur,180.0,4898.0,213.0,270.19,604.9,6.0,163.22,7.1
