district,amount_in_cr,loan_disbursed_in_adopted_msme_cluster_no,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sponsored_sancti_oned_in_handloom_cluster_no,loan_sponsored_sancti_oned_in_kvib_cluster_no,proposals_sponsored_g_enerated_in_msme_cluster_no
Alipurduar,1.69,96.0,112.0,126.0,121.0,157.0,156.0,179.0
Bankura,0.87,177.0,0.0,68.0,177.0,0.0,155.0,237.0
Birbhum,1.5,410.0,91.0,175.0,410.0,91.0,175.0,700.0
Cooch Behar,4.77,1462.0,19.0,70.0,1859.0,19.0,92.0,1863.0
Dakshin Dinajpur,0.08,20.0,0.0,4.0,20.0,0.0,5.0,40.0
Darjeeling,0.0,137.0,0.0,0.0,137.0,0.0,0.0,155.0
Hooghly,0.0,87.0,127.0,0.0,87.0,127.0,0.0,87.0
Howrah,0.0,98.0,0.0,0.0,98.0,0.0,0.0,98.0
Jalpaiguri,0.25,23.0,0.0,1.0,23.0,0.0,1.0,90.0
Jhargram,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0
Kalimpong,0.0,19.0,0.0,0.0,19.0,0.0,0.0,44.0
Kolkata,0.0,46.0,0.0,0.0,48.0,0.0,0.0,313.0
Malda,0.0,20.0,62.0,0.0,20.0,62.0,0.0,95.0
Murshidabad,0.0,62.0,356.0,0.0,63.0,403.0,0.0,79.0
Nadia,10.05,807.0,448.0,40.0,836.0,755.0,47.0,1307.0
North 24 Parganas,9.3,128.0,23.0,47.0,156.0,23.0,50.0,185.0
Paschim Bardhaman,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0
Paschim Medinipur,2.47,3491.0,18.0,63.0,3512.0,18.0,63.0,4578.0
Purba Bardhaman,0.0,205.0,0.0,0.0,207.0,0.0,0.0,254.0
Purba Medinipur,0.0,1069.0,21.0,0.0,1069.0,21.0,0.0,1962.0
Purulia,2.73,114.0,0.0,142.0,137.0,0.0,156.0,174.0
South 24 Parganas,1.01,56.0,0.0,32.0,69.0,0.0,38.0,83.0
Uttar Dinajpur,0.55,2095.0,0.0,15.0,2098.0,0.0,15.0,2101.0
