district,31_03_2021,31_03_2022,district_wise_pmjdy_accounts_31_03_2020
Alipurduar,74293.0,100726.0,53252.0
Bankura,878904.0,903226.0,836417.0
Birbhum,827652.0,894147.0,782043.0
Cooch Behar,598861.0,631521.0,572790.0
Dakshin Dinajpur,427871.0,458479.0,409712.0
Hooghly,813753.0,877321.0,783855.0
Howrah,680729.0,752814.0,654425.0
Jalpaiguri,685172.0,703657.0,683344.0
Kolkata,358782.0,346596.0,474909.0
Malda,1114782.0,1219659.0,1035251.0
Murshidabad,1600086.0,1686948.0,1470085.0
Nadia,1108632.0,1174405.0,1065943.0
North 24 Parganas,1553842.0,1627469.0,1484727.0
Paschim Medinipur,1246786.0,1166225.0,1111852.0
Purba Bardhaman,1134150.0,1249734.0,1096936.0
Purba Medinipur,1111384.0,1068418.0,1011260.0
Purulia,817614.0,810650.0,732816.0
South 24 Parganas,1811333.0,1918134.0,1640259.0
Uttar Dinajpur,964714.0,1040836.0,903481.0
