district,2020_21,2021_22,31_03_2021,31_03_2022,average_ticket_size_of_outstanding_31_03_2020,disbursement_during_the_fy_2019_20,outstanding_as_on_31_03_2020
Alipurduar,15591.0,14566.0,1.51,1.76,1.5,12048.0,16948.0
Bankura,42737.0,32729.0,1.56,1.86,1.68,30674.0,35269.0
Birbhum,54531.0,48236.0,1.58,1.66,1.57,42443.0,46153.0
Cooch Behar,38471.0,38990.0,1.7,2.0,1.49,28722.0,42898.0
Dakshin Dinajpur,20153.0,15772.0,1.28,1.39,1.33,14133.0,18152.0
Darjeeling,11953.0,66274.0,1.84,4.14,1.76,9725.0,12615.0
Hooghly,42873.0,32416.0,1.46,1.58,1.47,24550.0,32501.0
Howrah,34935.0,27599.0,1.73,1.87,1.53,23641.0,27691.0
Jalpaiguri,28469.0,23649.0,1.56,1.85,1.12,20537.0,29092.0
Jhargram,15538.0,10634.0,1.3,1.57,2.02,8832.0,7316.0
Kalimpong,2101.0,2309.0,1.7,2.05,1.31,1616.0,2005.0
Kolkata,0.0,648.0,0.0,0.51,0.0,0.0,0.0
Malda,49660.0,35403.0,1.41,1.52,1.33,31830.0,42840.0
Murshidabad,68402.0,48466.0,1.06,1.24,1.3,42817.0,57351.0
Nadia,40868.0,28020.0,1.19,1.41,1.23,24582.0,31889.0
North 24 Parganas,61009.0,42590.0,1.19,1.41,1.18,35782.0,52493.0
Paschim Medinipur,60176.0,38767.0,1.44,1.7,1.27,32369.0,41218.0
Purba Medinipur,79753.0,50598.0,1.74,2.18,1.65,43104.0,51184.0
Purulia,29318.0,17682.0,1.4,1.7,1.29,18155.0,14175.0
South 24 Parganas,62017.0,23612.0,1.27,1.89,1.17,38677.0,44907.0
Uttar Dinajpur,29882.0,108.0,1.4,1.76,1.41,19175.0,22967.0
