district,31_03_2020,31_03_2021,31_03_2022
Alipurduar,41.66,48.18,47.64
Bankura,43.16,45.01,49.25
Birbhum,40.26,41.09,49.99
Cooch Behar,69.95,77.36,79.49
Dakshin Dinajpur,57.44,62.21,61.85
Darjeeling,60.29,64.4,57.59
Hooghly,29.22,27.08,36.26
Howrah,41.6,41.86,46.26
Jalpaiguri,51.86,59.09,63.33
Jhargram,40.05,40.03,40.92
Kalimpong,39.26,40.04,44.6
Kolkata,74.8,64.06,61.61
Malda,53.55,55.83,57.31
Murshidabad,53.75,42.62,44.02
Nadia,49.16,50.02,50.25
North 24 Parganas,33.86,35.01,40.29
Paschim Bardhaman,40.29,41.59,42.58
Paschim Medinipur,47.3,43.37,46.95
Purba Bardhaman,44.01,45.58,51.28
Purba Medinipur,43.62,42.65,45.83
Purulia,43.94,54.58,48.61
South 24 Parganas,45.63,44.44,45.01
Uttar Dinajpur,59.81,60.63,60.6
