district,amount,no_of_active_shgs,no_of_cases_pending,no_of_sponsored_application_in_fy,no_of_sponsored_application_in_fy_fy,sep_g_disbursed_no,sep_g_sanctioned_no,sep_i_disbursed_no,sep_i_sanctioned_no,shg_loan_disbursed_no,shg_loan_sanctioned_no,target_amount_of_sep_g_loan_to_be_disbursed_fy,target_amount_of_sep_i_loan_to_be_disbursed_fy,target_amount_of_shg_loan_to_be_disbursed_fy,target_fy,target_fy_fy
Alipurduar,0.75,552.0,25.0,1.0,68.0,1.0,1.0,2.0,2.0,44.0,54.0,0.09,0.5,2.25,150.0,25.0
Bankura,2.05,2425.0,0.0,5.0,106.0,3.0,4.0,20.0,22.0,120.0,244.0,0.23,0.98,4.32,289.0,65.0
Birbhum,8.54,3612.0,310.0,32.0,919.0,21.0,21.0,209.0,212.0,500.0,452.0,0.39,3.53,14.84,978.0,210.0
Cooch Behar,3.21,1641.0,5.0,5.0,217.0,5.0,5.0,44.0,42.0,188.0,185.0,0.25,2.01,4.35,446.0,135.0
Dakshin Dinajpur,2.94,1832.0,5.0,3.0,149.0,2.0,2.0,12.0,12.0,172.0,253.0,0.18,1.35,4.86,263.0,82.0
Darjeeling,4.49,2306.0,79.0,4.0,298.0,3.0,3.0,35.0,34.0,263.0,264.0,0.44,2.1,7.48,498.0,125.0
Hooghly,11.51,6041.0,341.0,11.0,952.0,8.0,8.0,127.0,141.0,674.0,631.0,0.57,4.62,18.89,1272.0,333.0
Howrah,2.92,1449.0,46.0,3.0,228.0,2.0,2.0,34.0,34.0,171.0,168.0,0.24,1.32,8.64,586.0,110.0
Jalpaiguri,1.11,1575.0,80.0,5.0,214.0,3.0,3.0,15.0,15.0,65.0,66.0,0.17,1.55,3.99,266.0,84.0
Jhargram,0.68,486.0,0.0,0.0,36.0,0.0,0.0,1.0,1.0,40.0,40.0,0.06,0.3,1.2,80.0,20.0
Kalimpong,0.5,178.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,29.0,28.0,0.06,0.32,1.04,70.0,20.0
Kolkata,2.19,968.0,202.0,0.0,326.0,0.0,0.0,27.0,7.0,128.0,139.0,0.1,2.0,3.0,250.0,100.0
Malda,1.38,818.0,82.0,9.0,168.0,2.0,2.0,7.0,7.0,81.0,82.0,0.11,0.94,2.9,193.0,60.0
Murshidabad,9.12,5547.0,120.0,7.0,870.0,6.0,7.0,26.0,24.0,534.0,541.0,0.6,4.18,16.86,1185.0,260.0
Nadia,9.99,5842.0,133.0,8.0,719.0,8.0,8.0,124.0,133.0,584.0,640.0,0.45,3.89,16.44,1094.0,266.0
North 24 Parganas,27.7,15663.0,434.0,29.0,2058.0,26.0,26.0,353.0,368.0,1625.0,1626.0,1.57,13.66,45.97,3169.0,852.0
Paschim Bardhaman,5.09,2720.0,186.0,2.0,464.0,0.0,0.0,12.0,12.0,298.0,296.0,0.18,1.42,12.53,835.0,152.0
Paschim Medinipur,5.7,3988.0,142.0,8.0,501.0,7.0,6.0,52.0,52.0,333.0,362.0,0.33,2.66,9.76,650.0,195.0
Purba Bardhaman,7.29,3487.0,15.0,2.0,398.0,6.0,6.0,69.0,72.0,427.0,412.0,0.32,2.43,7.11,543.0,153.0
Purba Medinipur,5.33,3468.0,191.0,2.0,500.0,4.0,5.0,68.0,74.0,312.0,365.0,0.27,2.07,6.18,420.0,145.0
Purulia,1.23,1154.0,9.0,2.0,90.0,1.0,1.0,26.0,26.0,72.0,73.0,0.14,1.15,2.63,175.0,70.0
South 24 Parganas,6.37,3582.0,154.0,5.0,546.0,2.0,2.0,42.0,41.0,373.0,399.0,0.37,3.13,10.17,741.0,190.0
Uttar Dinajpur,3.12,2125.0,88.0,15.0,257.0,12.0,12.0,31.0,31.0,183.0,183.0,0.36,1.21,4.38,451.0,106.0
