district,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
Alipurduar,447178.0,47008.0,109975.0,290195.0,246371.0
Bankura,1190688.0,120012.0,234697.0,835979.0,2133039.0
Birbhum,1509571.0,178523.0,410636.0,920412.0,2220639.0
Cooch Behar,1033991.0,142177.0,237934.0,653880.0,1529186.0
Dakshin Dinajpur,626006.0,68248.0,140697.0,417061.0,1129599.0
Hooghly,1757561.0,221256.0,400993.0,1135312.0,2257286.0
Howrah,1407831.0,177920.0,331473.0,898438.0,1941148.0
Jalpaiguri,1048523.0,135683.0,272789.0,640051.0,1749324.0
Kolkata,1918967.0,164797.0,406249.0,1347921.0,823952.0
Malda,1534982.0,207538.0,338658.0,988786.0,3102801.0
Murshidabad,2629706.0,349783.0,535870.0,1744053.0,4201402.0
Nadia,1699029.0,211304.0,327124.0,1160601.0,2915364.0
North 24 Parganas,2886390.0,334812.0,603946.0,1947632.0,4144662.0
Paschim Medinipur,1928573.0,229442.0,394682.0,1304449.0,2890699.0
Purba Bardhaman,2328112.0,266572.0,560418.0,1501122.0,3506603.0
Purba Medinipur,1646244.0,265931.0,316077.0,1064236.0,2542600.0
Purulia,807762.0,91890.0,188754.0,527118.0,1913402.0
South 24 Parganas,2122661.0,263773.0,466952.0,1391936.0,4784733.0
Uttar Dinajpur,938109.0,120284.0,207379.0,610446.0,2521556.0
