district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,1962.91,1418.66,496.08,84.41,410.81,2325.55
Bankura,6474.56,4744.7,3995.41,66.07,1059.96,9800.07
Birbhum,3833.37,5254.45,3582.59,37.55,1370.78,10207.82
Cooch Behar,5177.91,4281.89,2075.0,69.04,1143.33,7500.21
Dakshin Dinajpur,6929.66,4524.73,3936.37,74.15,883.75,9344.86
Darjeeling,3617.09,1088.05,1953.44,90.58,951.65,3993.14
Hooghly,10230.44,5368.85,4567.2,88.49,1625.11,11561.16
Howrah,11589.88,2574.37,11397.5,76.03,1271.14,15243.01
Jalpaiguri,2929.59,2430.51,2558.81,50.22,843.85,5833.16
Jhargram,3075.79,2786.93,1899.24,56.05,801.52,5487.69
Kalimpong,123.78,319.69,315.43,16.68,106.81,741.93
Kolkata,18764.8,665.06,14546.63,82.5,7534.17,22745.86
Malda,7095.7,6237.69,2644.32,58.51,3246.19,12128.2
Murshidabad,12571.39,8128.64,6246.25,74.98,2390.38,16765.26
Nadia,11671.05,6542.09,6103.12,80.4,1871.57,14516.78
Paschim Bardhaman,5396.51,325.2,5951.01,79.6,503.51,6779.72
Purba Bardhaman,8864.1,8627.61,4655.94,59.34,1654.18,14937.73
Purba Medinipur,9056.74,6073.74,5273.22,67.55,2059.59,13406.56
Purulia,5479.37,3684.63,2935.87,69.55,1257.59,7878.1
Uttar Dinajpur,3619.91,3491.53,1160.42,62.24,1164.45,5816.39
