district,amount,no_of_active_shgs,no_of_cases_pending,no_of_sponsored_application_in_fy_fy_22_23,shg_loan_disbursed_no,shg_loan_sanctioned_no,target_amount_of_shg_loan_to_be_disbursed_fy_22_24,target_fy_22_23
Alipurduar,0.75,552.0,25.0,68.0,44.0,54.0,2.25,150.0
Bankura,2.05,2425.0,0.0,106.0,120.0,244.0,4.32,289.0
Birbhum,8.54,3612.0,310.0,919.0,500.0,452.0,14.84,978.0
Cooch Behar,3.21,1641.0,5.0,217.0,188.0,185.0,4.35,446.0
Dakshin Dinajpur,2.94,1832.0,5.0,149.0,172.0,253.0,4.86,263.0
Darjeeling,4.49,2306.0,79.0,298.0,263.0,264.0,7.48,498.0
Hooghly,11.51,6041.0,341.0,952.0,674.0,631.0,18.89,1272.0
Howrah,2.92,1449.0,46.0,228.0,171.0,168.0,8.64,586.0
Jalpaiguri,1.11,1575.0,80.0,214.0,65.0,66.0,3.99,266.0
Jhargram,0.68,486.0,0.0,36.0,40.0,40.0,1.2,80.0
Kalimpong,0.5,178.0,0.0,32.0,29.0,28.0,1.04,70.0
Kolkata,2.19,968.0,202.0,326.0,128.0,139.0,3.0,250.0
Malda,1.38,818.0,82.0,168.0,81.0,82.0,2.9,193.0
Murshidabad,9.12,5547.0,120.0,870.0,534.0,541.0,16.86,1185.0
Nadia,9.99,5842.0,133.0,719.0,584.0,640.0,16.44,1094.0
North 24 Parganas,27.7,15663.0,434.0,2058.0,1625.0,1626.0,45.97,3169.0
Paschim Bardhaman,5.09,2720.0,186.0,464.0,298.0,296.0,12.53,835.0
Paschim Medinipur,5.7,3988.0,142.0,501.0,333.0,362.0,9.76,650.0
Purba Bardhaman,7.29,3487.0,15.0,398.0,427.0,412.0,7.11,543.0
Purba Medinipur,5.33,3468.0,191.0,500.0,312.0,365.0,6.18,420.0
Purulia,1.23,1154.0,9.0,90.0,72.0,73.0,2.63,175.0
South 24 Parganas,6.37,3582.0,154.0,546.0,373.0,399.0,10.17,741.0
Uttar Dinajpur,3.12,2125.0,88.0,257.0,183.0,183.0,4.38,451.0
