district,amount,mm_claimed_no,mm_disbursed_no,returned_no,sanctioned_no,sponsored_in_fy_2022_23_no,target_for_2022_23_no
Alipurduar,364.23,59.0,52.0,112.0,85.0,232.0,145.0
Bankura,270.18,33.0,29.0,83.0,46.0,163.0,138.0
Birbhum,431.0,52.0,41.0,164.0,108.0,314.0,168.0
Cooch Behar,1069.31,87.0,75.0,369.0,118.0,592.0,167.0
Dakshin Dinajpur,168.5,16.0,20.0,44.0,26.0,99.0,137.0
Darjeeling,456.39,35.0,26.0,122.0,71.0,234.0,120.0
Hooghly,653.97,53.0,32.0,194.0,77.0,350.0,133.0
Howrah,758.98,87.0,63.0,271.0,127.0,461.0,120.0
Jalpaiguri,420.32,45.0,34.0,130.0,81.0,260.0,125.0
Kalimpong,99.99,9.0,14.0,33.0,15.0,62.0,100.0
Kolkata,131.07,7.0,15.0,69.0,8.0,113.0,105.0
Malda,668.21,48.0,30.0,180.0,65.0,376.0,112.0
Murshidabad,1217.81,158.0,120.0,318.0,245.0,697.0,289.0
Nadia,461.42,46.0,44.0,102.0,80.0,250.0,134.0
Paschim Bardhaman,26.77,10.0,8.0,8.0,11.0,23.0,121.0
Paschim Medinipur,362.25,46.0,31.0,116.0,71.0,247.0,205.0
Purba Medinipur,852.63,286.0,238.0,252.0,383.0,1217.0,530.0
Purulia,253.99,23.0,11.0,84.0,59.0,210.0,113.0
Uttar Dinajpur,130.78,16.0,16.0,57.0,39.0,122.0,132.0
