district,31_03_2022,during_fy_2021_22,kcc_disbursement_during_fy_2020_21,kcc_outstanding_31_03_2021
Alipurduar,47003.0,24782.0,28580.0,45666.0
Bankura,165474.0,151205.0,148212.0,168322.0
Birbhum,228706.0,201149.0,179452.0,245964.0
Cooch Behar,200143.0,158373.0,143251.0,193749.0
Dakshin Dinajpur,110792.0,77537.0,85121.0,100122.0
Darjeeling,26325.0,17604.0,13504.0,23090.0
Hooghly,321789.0,266969.0,290045.0,306179.0
Howrah,75783.0,41642.0,70222.0,43711.0
Jalpaiguri,80373.0,25647.0,30801.0,94099.0
Jhargram,80955.0,38419.0,42840.0,73757.0
Kalimpong,11031.0,9041.0,8229.0,10609.0
Kolkata,0.0,0.0,0.0,0.0
Malda,126930.0,171364.0,79801.0,128983.0
Murshidabad,126729.0,73973.0,71458.0,98425.0
Nadia,197820.0,64240.0,76225.0,171272.0
North 24 Parganas,311387.0,182134.0,170002.0,293053.0
Paschim Bardhaman,14501.0,14792.0,19534.0,23491.0
Paschim Medinipur,370792.0,267316.0,183846.0,318897.0
Purba Bardhaman,557957.0,289429.0,210211.0,459093.0
Purba Medinipur,557064.0,560331.0,561806.0,513433.0
Purulia,108514.0,51254.0,26712.0,94289.0
South 24 Parganas,306722.0,143161.0,127206.0,294670.0
Uttar Dinajpur,289343.0,47316.0,41454.0,284312.0
