district,31_03_2021,31_03_2022,average_ticket_size_of_outstanding_31_03_2020,outstanding_as_on_31_03_2020
Alipurduar,1.51,1.76,1.5,16948.0
Bankura,1.56,1.86,1.68,35269.0
Birbhum,1.58,1.66,1.57,46153.0
Cooch Behar,1.7,2.0,1.49,42898.0
Dakshin Dinajpur,1.28,1.39,1.33,18152.0
Darjeeling,1.84,4.14,1.76,12615.0
Hooghly,1.46,1.58,1.47,32501.0
Howrah,1.73,1.87,1.53,27691.0
Jalpaiguri,1.56,1.85,1.12,29092.0
Jhargram,1.3,1.57,2.02,7316.0
Kalimpong,1.7,2.05,1.31,2005.0
Kolkata,0.0,0.51,0.0,0.0
Malda,1.41,1.52,1.33,42840.0
Murshidabad,1.06,1.24,1.3,57351.0
Nadia,1.19,1.41,1.23,31889.0
North 24 Parganas,1.19,1.41,1.18,52493.0
Paschim Medinipur,1.44,1.7,1.27,41218.0
Purba Medinipur,1.74,2.18,1.65,51184.0
Purulia,1.4,1.7,1.29,14175.0
South 24 Parganas,1.27,1.89,1.17,44907.0
Uttar Dinajpur,1.4,1.76,1.41,22967.0
