district,31_03_2020_total_number_of_jlg,31_03_2021_total_number_of_jlg,31_03_2022_total_number_of_jlg,average_ticket_size_in_lakh,loan_o_s_to_jlgs
Alipurduar,21390.0,33053.0,26969.0,0.68,183.27
Bankura,2586.0,8900.0,13172.0,0.89,117.04
Birbhum,10239.0,29275.0,37447.0,0.5,186.5
Cooch Behar,28809.0,32846.0,29302.0,0.32,92.58
Dakshin Dinajpur,8323.0,35790.0,26915.0,0.29,78.58
Darjeeling,21521.0,36335.0,35864.0,0.59,212.01
Hooghly,32796.0,99398.0,105692.0,0.39,414.88
Howrah,13788.0,63895.0,64024.0,0.42,271.73
Jalpaiguri,30840.0,52957.0,45223.0,0.67,305.06
Jhargram,1426.0,3683.0,6500.0,0.54,35.27
Kalimpong,254.0,258.0,1239.0,0.51,6.35
Kolkata,133501.0,239233.0,209721.0,0.56,1175.47
Malda,21251.0,43868.0,52293.0,0.59,311.01
Murshidabad,60328.0,118232.0,77907.0,0.97,752.98
Nadia,19335.0,50210.0,58622.0,0.59,345.93
North 24 Parganas,61842.0,127658.0,121298.0,0.5,606.07
Paschim Bardhaman,10936.0,64961.0,66640.0,0.38,252.91
Paschim Medinipur,14100.0,47644.0,45714.0,0.53,240.25
Purba Bardhaman,11654.0,36674.0,57319.0,0.61,349.15
Purba Medinipur,33705.0,78687.0,72279.0,0.51,365.08
Purulia,6654.0,6805.0,12978.0,0.24,30.54
South 24 Parganas,35903.0,64713.0,66738.0,0.58,387.41
Uttar Dinajpur,9602.0,20010.0,33045.0,0.95,313.21
