District,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9
Araria,67483,57544,10617,3865,34609,25055,383,12,
Arwal,9354,4928,504,4487,1671,3,,,
Aurangabad,29120,3315,541,1,602,6410,4,135,
Banka,20771,14993,786,241,8537,2298,83,,
Begusarai,94770,64663,8923,1803,36569,12675,46,,
Bhagalpur,55183,4231,1529,28303,12081,,,,
Bhojpur,99300,9424,2729,21868,10425,247,19,,
Buxar,36379,22902,2690,488,12152,2936,136,14,
Darbhanga,140153,73897,22778,11175,60854,18283,902,14,
Gaya,1,135613,81296,20454,7046,26097,21663,20,122
Gopalganj,107417,62424,12818,7400,45716,12821,696,22,
Jamui,22617,17792,1586,388,15441,3557,12,12,
Jehanabad,14283,9849,1606,383,9636,2576,,,
Kaimur (Bhabua),29154,15784,1248,156,10558,3227,13,,
Katihar,81697,62334,7202,3549,23832,21244,317,3,
Kishanganj,40142,33408,5767,2208,14915,24068,229,,
Madhepura,56630,32037,10011,4183,30075,9237,452,19,
Madhubani,147969,42638,19080,12293,77713,15424,1390,27,
Munger,22099,14847,1645,179,9662,671,10,,
Muzaffarpur,183028,112263,24077,11383,80819,26545,1019,11,
Nalanda,48327,33368,4760,735,22288,7465,483,,
Nawada,29034,19432,1501,157,1906,3544,10,,
Pashchim Champaran,99225,40534,12472,7496,55148,17451,931,,
Patna,336221,271041,40786,9750,93697,53124,282,155,
Purbi Champaran,0,136218,76049,17049,9453,79320,18437,1012,14
Purnia,94865,59493,9985,5128,46940,25583,487,14,
Rohtas,49097,27906,3995,853,25283,6130,,,
Saharsa,46826,27297,7234,3299,26144,10594,616,228,
Samastipur,100446,69456,14775,3077,46871,14705,33,33,
Saran,137864,85382,20597,10272,63102,13180,839,27,
Sheikhpura,16211,5898,814,102,3868,830,,,
Sheohar,15934,,,,,,,,
Sitamarhi,78110,35399,9238,5166,39142,9463,553,,
Siwan,225754,85005,44455,22358,66722,43394,878,,
Supaul,47023,22404,8539,3890,17271,16471,1043,187,
