District,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,ATM Total,POS,Card Total
Araria,83,77,162,15,82,19,161,1673760,998,
Arwal,40,20,62,18,12,11,41,458371,,
Aurangabad,121,43,28,192,52,43,143,1975543,,
Banka,80,1,181,39,47,6,92,870541,447,
Bhojpur,129,58,51,238,68,100,201,1807115,1881,
Buxar,89,39,156,35,43,104,1183574,1169,,
Gopalganj,119,68,1,188,43,90,15,148,1987436,1116
Jehanabad,58,10,27,95,15,30,32,77,865420,513
Kaimur (Bhabua),85,33,120,14,50,68,1183077,584,,
Katihar,109,37,42,188,23,34,64,121,1878609,988
Khagaria,49,68,3,120,21,51,11,83,758490,658
Madhubani,126,153,1,280,40,114,27,181,2738947,1720
Munger,62,30,45,137,17,39,62,118,1254678,835
Muzaffarpur,185,90,113,388,68,102,244,414,3118908,8089
Nalanda,144,63,44,251,29,76,81,186,1818972,1517
Nawada,83,57,2,142,60,7,75,1545951,764,
Purbi Champaran,116,139,40,295,44,92,91,227,3503245,2066
Rohtas,136,49,235,25,57,84,166,1821741,1821,
