District,Col_1,Col_2,Col_3,Col_4
Araria,13240,53,66,20780
Arwal,82,89,6337,
Aurangabad,259,458,10608,
Banka,73,59297,,
Begusarai,168,22580,,
Bhojpur,14,27049,,
Buxar,80,,,
Darbhanga,51,74,5303,
Gaya,45599,89,722,6999
Jamui,29541,30,44,25059
Jehanabad,8374,6,6153,
Katihar,14513,60,202,23851
Khagaria,11496,51,73,22463
Madhepura,5349,304,332,6218
Madhubani,13227,65,91,8539
Munger,15374,81,162,21489
Muzaffarpur,30730,22,85,16981
Nalanda,31,14091,,
Nawada,15678,16,8232,
Pashchim Champaran,702,239,26996,
Patna,53,446,53994,
Purbi Champaran,14955,136,97,13301
Purnia,7339,90,501,7730
Rohtas,12344,423,559,29642
Saharsa,8855,124,231,12720
Samastipur,31036,15,45,18644
Saran,704,42587,,
Sheikhpura,30928,111,,
Sheohar,19,25,5137,
Siwan,17435,164,147,12962
Supaul,4960,123,188,5680
