District,Branch,Deposits,Advances,CD Ratio
Araria,162,382591,,82.15
Arwal,62,179812,72358,40.24
Aurangabad,192,788197,193151,64.95
Banka,181,416995,198031,47.49
Begusarai,228,944772,666694,70.57
Bhagalpur,278,1516510,658503,43.42
Bhojpur,238,1186915,467388,39.38
Buxar,156,639051,285302,44.64
Darbhanga,246,1326300,580298,43.75
Gaya,305,1822036,828040,45.45
Gopalganj,188,855972,385499,45.04
Jamui,122,,,
Jehanabad,95,378782,150388,
Kaimur (Bhabua),120,430860,251116,58.28
Katihar,188,700151,483247,69.02
Khagaria,120,,,
Kishanganj,110,,,
Lakhisarai,82,332457,139159,41.86
Madhepura,120,388645,254081,65.38
Madhubani,280,937914,454376,48.45
Munger,137,769385,231635,30.1
Muzaffarpur,388,,,
Nalanda,251,1441081,449604,39.30
Nawada,142,,,
Pashchim Champaran,217,725825,496371,68.39
Patna,942,,,
Purbi Champaran,295,1063612,764093,71.84
Purnia,229,777899,684469,87.99
Rohtas,235,1057121,510719,48.31
Saharsa,107,479912,142271,
Samastipur,289,1341471,636531,56.12
Saran,267,,,
Sheohar,45,106485,79627,74.78
Sitamarhi,166,653735,376924,57.66
Siwan,253,1295610,608773,46.99
Supaul,123,415155,254991,61.42
