district,Micro,Small,Medium,Other MSME,MSME Total
Anjaw,40,7,0,0,47
Changlang,536,78,0,0,614
Dibang Valley,26,5,0,0,31
East Kameng,271,6,0,19,296
East Siang,1272,81,0,113,1466
Kamle,68,0,0,0,68
Kra Daadi,359,3,0,0,362
Kurung Kumey,235,9,0,4,248
Lepa Rada,123,6,0,0,129
Lohit,493,18,5,6,522
Longding,280,16,1,0,297
Lower Dibang Valley,465,7,0,4,476
Lower Siang,290,5,0,1,296
Lower Subansiri,765,37,1,10,813
Namsai,518,55,0,3,576
Pakke Kessang,79,1,0,0,80
Papum Pare,6645,710,43,804,8202
Shi Yomi,25,0,0,0,25
Siang,72,0,0,0,72
Tawang,502,37,0,1,540
Tirap,299,14,0,0,313
Upper Siang,65,3,0,3,71
Upper Subansiri,429,28,0,16,473
West Kameng,1289,86,1,3,1379
West Siang,542,37,9,1,589
