District,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,OPS Total
Anjaw,0,0,1,0,0,0,1
Changlang,0,20,21,0,0,42,83
Dibang Valley,0,0,2,0,0,3,5
East Kameng,0,2,50,0,0,80,132
East Siang,0,28,38,0,0,25,91
Kamle,0,0,1,0,0,0,1
Kra Daadi,0,1,0,0,0,0,1
Kurung Kumey,0,0,15,0,0,14,29
Lepa Rada,0,1,27,0,0,26,54
Lohit,0,15,16,0,0,35,66
Longding,0,13,0,0,0,0,13
Lower Dibang Valley,0,8,11,0,0,36,55
Lower Siang,0,8,26,0,0,0,34
Lower Subansiri,0,24,58,0,0,83,165
Namsai,0,15,20,0,0,1013,1048
Pakke Kessang,0,0,18,0,0,0,18
Papum Pare,0,193,423,168,0,356,1140
Shi Yomi,0,0,2,0,0,19,21
Siang,0,0,0,0,0,1,1
Tawang,0,2,23,0,0,25,50
Tirap,0,10,16,0,0,15,41
Upper Siang,0,2,3,0,0,100,105
Upper Subansiri,0,11,59,0,0,61,131
West Kameng,0,17,41,0,0,17,75
West Siang,0,6,56,0,1,33,96
