district,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Anjaw,60464,7674,4470
Changlang,209368,61730,65866
Dibang Valley,25853,5535,5328
East Kameng,76320,52479,39867
East Siang,214881,122873,45541
Kamle,18158,5331,2627
Kra Daadi,32307,8753,3160
Kurung Kumey,107469,23643,21002
Lepa Rada,64920,19909,11320
Lohit,71548,30908,21718
Longding,63371,20151,14999
Lower Dibang Valley,95195,46770,30906
Lower Siang,97711,41419,7400
Lower Subansiri,116612,48995,26435
Namsai,96526,65158,33011
Pakke Kessang,18405,2987,1621
Papum Pare,445236,257529,182207
Shi Yomi,23975,6480,5691
Siang,62186,14962,3731
Tawang,97420,28706,21880
Tirap,58019,35685,28747
Upper Siang,46892,33349,19931
Upper Subansiri,93469,66470,33537
West Kameng,157069,52843,36800
West Siang,125143,56251,25320
